database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Control_1	Control_2	Control_3	Control_4	ABA_1	ABA_2	ABA_3	ABA_4	ethylene_1	ethylene_2	ethylene_3	ethylene_4	ABA_ethylene_1	ABA_ethylene_2	ABA_ethylene_3	ABA_ethylene_4
CHEBI:138781	C18H26O3	CCC=C/C=C/C=CC=CCCCCC(CCC(=O)O)=O	InChI=1S/C18H26O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(19)15-16-18(20)21/h3-10H,2,11-16H2,1H3,(H,20,21)/b4-3-,6-5+,8-7-,10-9+	(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid	290.2			pos	8.79	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.58	4.57	4.58	4.63	4.46	4.73	4.54	4.52	4.11	4.58	4.64	4.57	4.73	4.05	4.8	4.81
CHEBI:138781	C18H26O3	CCC=C/C=C/C=CC=CCCCCC(CCC(=O)O)=O	InChI=1S/C18H26O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(19)15-16-18(20)21/h3-10H,2,11-16H2,1H3,(H,20,21)/b4-3-,6-5+,8-7-,10-9+	(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid	290.2			pos	10.28	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.68	4.68	4.7	4.7	4.66	4.67	4.66	4.71	4.98	4.94	4.95	4.95	4.79	4.84	4.86	4.82
CHEBI:142241	C16H30O2	OC(=O)CC=CCCCCCCCCCCCC	InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h13-14H,2-12,15H2,1H3,(H,17,18)/b14-13+	(E)-3-Hexadecenoic acid	254.2			pos	11.07	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.33	4.38	4.34	4.39	0	3.15	3.28	3	0	0	0	0	0	2.76	0	0
CHEBI:142242	C21H20O9	C=1C=C(C=CC1/C=C2/C(C=3C=CC(=CC3O2)OC4C(C(C(C(CO)O4)O)O)O)=O)O	InChI=1S/C21H20O9/c22-9-16-18(25)19(26)20(27)21(30-16)28-12-5-6-13-14(8-12)29-15(17(13)24)7-10-1-3-11(23)4-2-10/h1-8,16,18-23,25-27H,9H2/b15-7-	(Z)-4',6-Dihydroxyaurone 6-glucoside	416.1			pos	4.85	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	2.89	4.56	4.63	0	0	0	5.31	0	5.51	0	0	0	0
CHEBI:75347	C26H49O12P	CCCCCCC=C/CCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C26H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20(28)36-17-19(27)18-37-39(34,35)38-26-24(32)22(30)21(29)23(31)25(26)33/h7-8,19,21-27,29-33H,2-6,9-18H2,1H3,(H,34,35)/b8-7-/t19-,21-,22-,23+,24-,25-,26-/m1/s1	1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol)	584.3			pos	15.85	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	0	5.23	5.33	5.42	5.41	5.36	0	0	0	5.83	5.88	5.81	5.83
CHEBI:75347	C26H49O12P	CCCCCCC=C/CCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C26H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20(28)36-17-19(27)18-37-39(34,35)38-26-24(32)22(30)21(29)23(31)25(26)33/h7-8,19,21-27,29-33H,2-6,9-18H2,1H3,(H,34,35)/b8-7-/t19-,21-,22-,23+,24-,25-,26-/m1/s1	1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol)	584.3			pos	15.91	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							5.23	5.36	5.43	5.34	0	0	0	4.13	0	5.25	5.27	5.26	0	0	4.58	0
CHEBI:142243	C51H84O15	O1[C@@H]([C@H](O)C(O)C(O)[C@@H]1OC[C@H](OC(=O)CCCCCCC/C=CC/C=CC/C=CCC)COC(=O)CCCCCCC/C=CC/C=CC/C=CCC)CO[C@@H]2O[C@@H]([C@H](O)C(O)C2O)CO	InChI=1S/C51H84O15/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-42(53)61-36-39(64-43(54)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2)37-62-50-49(60)47(58)45(56)41(66-50)38-63-51-48(59)46(57)44(55)40(35-52)65-51/h5-8,11-14,17-20,39-41,44-52,55-60H,3-4,9-10,15-16,21-38H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-/t39-,40-,41-,44+,45+,46?,47?,48?,49?,50-,51-/m1/s1	1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol	936.6			pos	14.01	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.78	4.82	4.89	4.85	4.88	4.92	4.98	5.03	4.56	4.49	4.42	4.41	4.53	4.57	4.59	4.49
CHEBI:142245	C22H43NO	O=C(N)CCCCCCCCCCC/C=CCCCCCCCC	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	13Z-Docosenamide	337.3			pos	14.67	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							5.66	5.79	5.94	5.81	5.52	5.72	5.81	5.79	5.83	5.72	5.8	5.76	6.01	6.13	6.16	6.16
CHEBI:72815	C18H30O3	CCCCCC(=O)C=CC=CCCCCCCCC(O)=O	InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h7,9,12,15H,2-6,8,10-11,13-14,16H2,1H3,(H,20,21)/b9-7+,15-12+	13-OxoODE	294.2			pos	11.22	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							3.73	3.91	3.75	3.84	0	3.5	3.37	3.61	3.99	4	4.1	4.12	3.87	4.04	3.88	3.88
CHEBI:142246	C16H30O4	C(CCCCC(=O)O)CCCC(CCCCCCO)=O	InChI=1S/C16H30O4/c17-14-10-6-5-8-12-15(18)11-7-3-1-2-4-9-13-16(19)20/h17H,1-14H2,(H,19,20)	16-Hydroxy-10-oxohexadecanoic acid	286.2			pos	10.28	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.29	3.66	3.58	3.55	0	3.22	3.25	3.41	3.84	3.65	3.55	4.02	3.05	3.04	3.28	3.2
CHEBI:142247	C20H16O4	OC1C=2C=3C(C(=O)C1O)=CC=CC3C=CC2C4=CC=C(OC)C=C4	InChI=1S/C20H16O4/c1-24-13-8-5-11(6-9-13)14-10-7-12-3-2-4-15-16(12)17(14)19(22)20(23)18(15)21/h2-10,19-20,22-23H,1H3	2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one	320.1			pos	8.78	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.43	4.46	4.41	4.56	0	0	0	0	5.45	5.42	5.45	5.45	5.6	6.08	0	6.13
CHEBI:72719	C33H36N4O6	CC1=C(C=C)C(NC1=O)=Cc1[nH]c(Cc2[nH]c(C=C3NC(=O)C(C=C)=C3C)c(C)c2CCC(O)=O)c(CCC(O)=O)c1C	InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13+,27-14-	4E,15Z-Bilirubin IXa	584.3			pos	13.96	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.19	4.37	4.34	4.34	4.11	4.27	4.26	4.43	0	0	0	0	0	0	0	0
