compound_id,name,n_reactions,reactions,n_ecs_total,n_ecs_in_gmx,gmx_ecs,status
C08320,(E)-3-Hexadecenoic acid,1,R08185,0,0,,REACTION_EXISTS_NO_GMX_EC
C10435,"(Z)-4',6-Dihydroxyaurone 6-glucoside",0,,0,0,,NO_REACTION
C01177,1-(10Z-Heptadecenoyl)-sn-glycero-3-phosp,5,R01185;R03330;R03331,7,4,3.1.4.11;3.1.3.64;3.1.3.25,COVERED
C06037,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(",3,R04469;R04470;R05080,2,2,2.4.1.241;3.2.1.22,COVERED
C14765,13-OxoODE,1,R07058,0,0,,REACTION_EXISTS_NO_GMX_EC
C10373,5-O-Methylembelin,0,,0,0,,NO_REACTION
C10643,Arborinine,0,,0,0,,NO_REACTION
C08468,Auxin a,0,,0,0,,NO_REACTION
C02495,Daidzein,2,R03962;R06606,2,1,1.14.14.90,COVERED
C10216,Daidzin,3,R07720;R07721;R13051,3,3,2.3.1.115;2.4.1.170;3.2.1.21,COVERED
C00503,DL-Phenylalanine,2,R02430;R11536,2,0,,REACTION_EXISTS_NO_GMX_EC
C04079,D-Pantothenoyl-L-cysteine,2,R02972;R04391,2,1,2.7.1.33,COVERED
C00858,Formononetin,6,R03006;R06560;R06564,6,6,2.1.1.46;2.4.1.170;1.14.14.89,COVERED
C11365,Irinotecan,0,,0,0,,NO_REACTION
C00062,L-Arginine,47,R00551;R00552;R00554,5,2,3.5.3.1;1.14.13.39,COVERED
C00078,L-Tryptophan,44,R00673;R00674;R00675,6,1,4.2.1.20,COVERED
C03005,Methyl N-methylanthranilate,2,R00984;R07416,2,0,,REACTION_EXISTS_NO_GMX_EC
C00384,Neomycin,0,,0,0,,NO_REACTION
C19670,Oleamide,1,R09537,1,0,,REACTION_EXISTS_NO_GMX_EC
C10514,Phaseollin,0,,0,0,,NO_REACTION
C08833,Pollinastanol,0,,0,0,,NO_REACTION
C10178,Robinin,0,,0,0,,NO_REACTION
C17875,Sedanonic acid,0,,0,0,,NO_REACTION
C19865,Soyasaponin III,2,R09753;R09754,2,2,2.4.1.272;2.4.1.273,COVERED
C01004,Trigonelline,1,R01721,1,1,2.1.1.7,COVERED
