enzyme_idx,uniprot_id
0,A0A075W8S1
1,A0A0B5E2H5
2,A0A0B5E2M0
3,A0A0B5E8V1
4,A0A0B5EA67
5,A0A0B5EC24
6,A0A0B5EC52
7,A0A0G4DBR5
8,A0A0K2CSW0
9,A0A0K2CT67
10,A0A0K2CT73
11,A0A0K2CT95
12,A0A0K2CTA8
13,A0A0K2CTB0
14,A0A0K2CTB2
15,A0A0K2CTB3
16,A0A0K2CTB7
17,A0A0K2CTE4
18,A0A0K2CTE5
19,A0A0K2CTG7
20,A0A0K2CTP6
21,A0A0K2CTV0
22,A0A0R0BYR6
23,A0A0R0C5S4
24,A0A0R0C7N6
25,A0A0R0CFQ4
26,A0A0R0CRP7
27,A0A0R0D311
28,A0A0R0D606
29,A0A0R0DW58
30,A0A0R0DY39
31,A0A0R0DZ99
32,A0A0R0DZE5
33,A0A0R0E240
34,A0A0R0E2A0
35,A0A0R0E2D0
36,A0A0R0E2E6
37,A0A0R0E2F2
38,A0A0R0E2H8
39,A0A0R0E2J2
40,A0A0R0E2L7
41,A0A0R0E2N3
42,A0A0R0E2P3
43,A0A0R0E2P8
44,A0A0R0E2R0
45,A0A0R0E2R8
46,A0A0R0E2U1
47,A0A0R0E2V8
48,A0A0R0E2W3
49,A0A0R0E2W8
50,A0A0R0E2X8
51,A0A0R0E2Z1
52,A0A0R0E2Z5
53,A0A0R0E307
54,A0A0R0E313
55,A0A0R0E332
56,A0A0R0E333
57,A0A0R0E335
58,A0A0R0E366
59,A0A0R0E389
60,A0A0R0E3A2
61,A0A0R0E3D7
62,A0A0R0E3E6
63,A0A0R0E3G0
64,A0A0R0E3H1
65,A0A0R0E3I5
66,A0A0R0E3J7
67,A0A0R0E3K4
68,A0A0R0E3K7
69,A0A0R0E3L4
70,A0A0R0E3M0
71,A0A0R0E3N4
72,A0A0R0E3P3
73,A0A0R0E3Q7
74,A0A0R0E3Q8
75,A0A0R0E3S1
76,A0A0R0E3S3
77,A0A0R0E3S4
78,A0A0R0E3S8
79,A0A0R0E3T5
80,A0A0R0E3T9
81,A0A0R0E3U2
82,A0A0R0E3U7
83,A0A0R0E3V6
84,A0A0R0E3W6
85,A0A0R0E3X1
86,A0A0R0E3Y8
87,A0A0R0E3Z8
88,A0A0R0E400
89,A0A0R0E413
90,A0A0R0E422
91,A0A0R0E431
92,A0A0R0E438
93,A0A0R0E463
94,A0A0R0E480
95,A0A0R0E484
96,A0A0R0E4A2
97,A0A0R0E4B1
98,A0A0R0E4L0
99,A0A0R0E4M0
100,A0A0R0E4M8
101,A0A0R0E4N9
102,A0A0R0E4P5
103,A0A0R0E4Q8
104,A0A0R0E4R3
105,A0A0R0E4S3
106,A0A0R0E4Y2
107,A0A0R0E4Z5
108,A0A0R0E512
109,A0A0R0E535
110,A0A0R0E548
111,A0A0R0E563
112,A0A0R0E568
113,A0A0R0E5C1
114,A0A0R0E5D0
115,A0A0R0E5F5
116,A0A0R0E5G3
117,A0A0R0E5I3
118,A0A0R0E5I8
119,A0A0R0E5J0
120,A0A0R0E5K4
121,A0A0R0E5L4
122,A0A0R0E5L7
123,A0A0R0E5N2
124,A0A0R0E5N3
125,A0A0R0E5R2
126,A0A0R0E5R9
127,A0A0R0E5W6
128,A0A0R0E5W9
129,A0A0R0E5Y4
130,A0A0R0E600
131,A0A0R0E613
132,A0A0R0E615
133,A0A0R0E616
134,A0A0R0E619
135,A0A0R0E652
136,A0A0R0E695
137,A0A0R0E696
138,A0A0R0E6F5
139,A0A0R0E6F7
140,A0A0R0E6H1
141,A0A0R0E6H2
142,A0A0R0E6I2
143,A0A0R0E6K0
144,A0A0R0E6K5
145,A0A0R0E6K9
146,A0A0R0E6M1
147,A0A0R0E6M2
148,A0A0R0E6M4
149,A0A0R0E6P1
150,A0A0R0E6P2
151,A0A0R0E6P7
152,A0A0R0E6Q6
153,A0A0R0E6Q8
154,A0A0R0E6R3
155,A0A0R0E6S3
156,A0A0R0E6S4
157,A0A0R0E6S7
158,A0A0R0E6T9
159,A0A0R0E6U0
160,A0A0R0E6U1
161,A0A0R0E6W9
162,A0A0R0E6X3
163,A0A0R0E6Y1
164,A0A0R0E6Z1
165,A0A0R0E6Z3
166,A0A0R0E710
167,A0A0R0E713
168,A0A0R0E717
169,A0A0R0E723
170,A0A0R0E731
171,A0A0R0E734
172,A0A0R0E737
173,A0A0R0E743
174,A0A0R0E753
175,A0A0R0E764
176,A0A0R0E790
177,A0A0R0E791
178,A0A0R0E7A5
179,A0A0R0E7B9
180,A0A0R0E7C0
181,A0A0R0E7C2
182,A0A0R0E7C3
183,A0A0R0E7C4
184,A0A0R0E7F4
185,A0A0R0E7H3
186,A0A0R0E7J2
187,A0A0R0E7J3
188,A0A0R0E7L1
189,A0A0R0E7L3
190,A0A0R0E7L6
191,A0A0R0E7M6
192,A0A0R0E7N6
193,A0A0R0E7N9
194,A0A0R0E7P7
195,A0A0R0E7P8
196,A0A0R0E7Q2
197,A0A0R0E7R5
198,A0A0R0E7R6
199,A0A0R0E7S3
200,A0A0R0E7S8
201,A0A0R0E7T4
202,A0A0R0E7V0
203,A0A0R0E7V1
204,A0A0R0E7V4
205,A0A0R0E7W1
206,A0A0R0E7W2
207,A0A0R0E7W4
208,A0A0R0E7X6
209,A0A0R0E7Y9
210,A0A0R0E7Z5
211,A0A0R0E807
212,A0A0R0E818
213,A0A0R0E828
214,A0A0R0E835
215,A0A0R0E836
216,A0A0R0E840
217,A0A0R0E846
218,A0A0R0E851
219,A0A0R0E874
220,A0A0R0E881
221,A0A0R0E882
222,A0A0R0E896
223,A0A0R0E897
224,A0A0R0E898
225,A0A0R0E8A2
226,A0A0R0E8C5
227,A0A0R0E8D0
228,A0A0R0E8D7
229,A0A0R0E8F0
230,A0A0R0E8F7
