enzyme_ec	metabolite_id	reaction_id	is_substrate	is_product
1.1.1.1	C00772	R02246	False	True
1.1.1.1	C00418	R02246	True	False
1.1.1.1	C06899	R07105	True	False
1.1.1.1	C07490	R07105	False	True
1.1.1.1	C00226	R00623	True	False
1.1.1.1	C00071	R00623	False	True
1.1.1.1	C00469	R00754	True	False
1.1.1.1	C00084	R00754	False	True
1.1.1.1	C00473	R02124	True	False
1.1.1.1	C00376	R02124	False	True
1.1.1.1	C00756	R02878	True	False
1.1.1.1	C01545	R02878	False	True
1.1.1.1	C05445	R04805	False	True
1.1.1.1	C05444	R04805	True	False
1.1.1.1	C05577	R04880	False	True
1.1.1.1	C05576	R04880	True	False
1.1.1.1	C06611	R05233	True	False
1.1.1.1	C06613	R05233	False	True
1.1.1.1	C06612	R05234	True	False
1.1.1.1	C16348	R05234	False	True
1.1.1.100	C20372	R10116	True	False
1.1.1.100	C20373	R10116	False	True
1.1.1.100	C20376	R10120	True	False
1.1.1.100	C20377	R10120	False	True
1.1.1.100	C01271	R02767	True	False
1.1.1.100	C00685	R02767	False	True
1.1.1.100	C04618	R04533	True	False
1.1.1.100	C05744	R04533	False	True
1.1.1.100	C04619	R04534	True	False
1.1.1.100	C05753	R04534	False	True
1.1.1.100	C04620	R04536	True	False
1.1.1.100	C05750	R04536	False	True
1.1.1.100	C05762	R04543	False	True
1.1.1.100	C04633	R04543	True	False
1.1.1.100	C04688	R04566	True	False
1.1.1.100	C05759	R04566	False	True
1.1.1.100	C05746	R04953	False	True
1.1.1.100	C05747	R04953	True	False
1.1.1.100	C05756	R04964	False	True
1.1.1.100	C05757	R04964	True	False
1.1.1.102	C02934	R02978	False	True
1.1.1.102	C00836	R02978	True	False
1.1.1.14	C00794	R00875	True	False
1.1.1.14	C00095	R00875	False	True
1.1.1.14	C00379	R01896	True	False
1.1.1.14	C00310	R01896	False	True
1.1.1.14	C00247	R07145	False	True
1.1.1.14	C01507	R07145	True	False
1.1.1.146	C16453	R09420	True	False
1.1.1.146	C19574	R09420	False	True
1.1.1.146	C00735	R02836	True	False
1.1.1.146	C00762	R02836	False	True
1.1.1.146	C01985	R03203	False	True
1.1.1.146	C01058	R03203	True	False
1.1.1.146	C02140	R03848	True	False
1.1.1.146	C05490	R03848	False	True
1.1.1.146	C05284	R04758	True	False
1.1.1.146	C05285	R04758	False	True
1.1.1.146	C05478	R04840	False	True
1.1.1.146	C05476	R04840	True	False
1.1.1.157	C05116	R05576	True	False
1.1.1.157	C00332	R05576	False	True
1.1.1.157	C14145	R06941	True	False
1.1.1.157	C02232	R06941	False	True
1.1.1.157	C01144	R01976	True	False
1.1.1.184	C00639	R02581	True	False
1.1.1.184	C00584	R02581	False	True
1.1.1.184	C00835	R02975	False	True
1.1.1.184	C02953	R02975	True	False
1.1.1.184	C01612	R03557	True	False
1.1.1.184	C01450	R03557	False	True
1.1.1.184	C03684	R04285	False	True
1.1.1.184	C04244	R04285	True	False
1.1.1.184	C16453	R09420	True	False
1.1.1.184	C19574	R09420	False	True
1.1.1.189	C00639	R02581	True	False
1.1.1.189	C00584	R02581	False	True
1.1.1.193	C04454	R03458	True	False
1.1.1.193	C01268	R03458	False	True
1.1.1.195	C02666	R02593	False	True
1.1.1.195	C00590	R02593	True	False
1.1.1.195	C05610	R03918	False	True
1.1.1.195	C02325	R03918	True	False
1.1.1.195	C12205	R06570	False	True
1.1.1.195	C12204	R06570	True	False
1.1.1.195	C12206	R06571	False	True
1.1.1.195	C10945	R06571	True	False
1.1.1.195	C05608	R07437	True	False
1.1.1.195	C02646	R07437	False	True
1.1.1.195	C00903	R03054	True	False
1.1.1.195	C02394	R03054	False	True
1.1.1.197	C04654	R04552	False	True
1.1.1.197	C04741	R04552	True	False
1.1.1.2	C00800	R01481	True	False
1.1.1.2	C00191	R01481	False	True
1.1.1.2	C00772	R02247	False	True
1.1.1.2	C00418	R02247	True	False
1.1.1.2	C00226	R00625	True	False
1.1.1.2	C00071	R00625	False	True
1.1.1.2	C00469	R00746	True	False
1.1.1.2	C00084	R00746	False	True
1.1.1.2	C00116	R01041	True	False
1.1.1.2	C00577	R01041	False	True
1.1.1.2	C06103	R05231	True	False
1.1.1.2	C06102	R05231	False	True
1.1.1.2	C00069	R07328	True	False
1.1.1.205	C04646	R08240	True	False
1.1.1.205	C16618	R08240	False	True
1.1.1.205	C00655	R01130	False	True
