gene_id	ec
100037445	1.7.3.3
100037447	1.11.1.6
100037448	1.11.1.6
100037449	6.4.1.2
100037449	2.1.3.15
100037450	1.14.14.87
100037452	2.7.1.40
100037453	2.3.1.179
100037455	5.5.1.6
100037456	1.14.19.25
100037456	1.14.19.35
100037456	1.14.19.36
100037457	1.2.1.12
100037458	4.4.1.14
100037459	1.14.14.134
100037460	3.1.4.11
100037462	6.4.1.2
100037462	2.1.3.15
100037469	2.7.11.2
100037470	5.3.4.1
100037471	5.3.4.1
100037472	5.3.4.1
100037473	1.10.3.1
100037474	1.10.3.1
100037476	2.4.1.242
100037478	1.14.19.2
100037478	1.14.19.11
100037478	1.14.19.26
100037481	4.2.1.92
100037482	4.2.1.92
100037483	3.2.1.4
100037484	2.4.2.8
100101849	3.2.1.4
100101853	1.13.11.58
100101865	2.5.1.47
100101866	2.5.1.47
100101867	2.5.1.47
100101868	4.2.2.2
100101885	2.3.2.27
100101895	2.4.1.218
100101896	1.15.1.1
100101899	2.5.1.47
100101899	4.4.1.9
100101900	2.5.1.47
100101901	1.13.11.27
100101902	2.4.1.170
100101909	2.5.1.47
100101913	3.1.30.1
100125585	1.3.3.6
100127365	2.3.1.115
100127399	1.13.11.58
100127400	1.13.11.58
100127402	7.2.2.8
100127406	2.7.1.158
100127407	2.7.1.140
100127407	2.7.1.151
100127408	2.7.1.159
100127408	2.7.1.134
100127409	2.7.1.159
100127409	2.7.1.134
100127410	2.7.1.159
100127410	2.7.1.134
100127413	2.6.1.2
100127414	2.6.1.4
100127414	2.6.1.2
100127414	2.6.1.44
100127418	2.7.11.22
100127419	7.1.1.6
100127420	1.3.5.5
100127426	2.3.1.115
100127429	2.4.1.14
100127430	2.7.1.159
100127430	2.7.1.134
100137073	2.7.4.27
100137073	2.7.11.32
100137075	3.5.3.9
100137076	5.3.4.1
100170642	3.1.3.16
100170643	3.1.3.16
100170650	2.1.1.274
100170673	2.7.11.1
100170674	1.14.14.137
100170686	4.2.1.20
100170693	3.1.2.14
100170693	3.1.2.21
100170694	3.4.22.16
100170701	2.3.1.74
100170703	2.4.1.242
100170705	5.3.4.1
100170706	5.3.4.1
100170725	4.2.1.17
100170727	1.11.1.11
100170729	3.1.2.4
100170730	1.1.3.15
100170731	1.2.1.8
100170733	2.6.1.44
100170733	2.6.1.40
100170734	2.3.1.16
100170735	1.1.1.37
100170736	1.1.3.15
100170737	1.11.1.11
100170738	2.6.1.44
100170738	2.6.1.40
100170739	2.3.3.1
