kegg_gene,uniprot
100037445,A0A0R0E8N5
100037447,A0A0R0GNE3
100037448,B0M1A4
100037449,Q9LLQ8
100037450,Q9M6D6
100037452,Q8L7J4
100037453,Q5ECI5
100037455,Q53B70
100037456,Q84X83
100037457,Q2I0H4
100037458,Q27ZJ4
100037459,Q9XHC6
100037460,Q43439
100037461,A0A0R0ILF6
100037462,Q39833
100037464,I1MQD2
100037467,C6TI48
100037468,A0FK53
100037469,A0MP01
100037470,I1L7R5
100037471,I7GEK3
100037472,E3W9C1
100037474,K7MU36
100037475,A0A762
100037476,A1YZE0
100037477,A1XG54
100037478,A1YNA0
100037479,A1IGE2
100037480,C6TES6
100037481,A0MAV5
100037482,A0MAV6
100037483,I1L090
100037484,A1YUN0
100101835,I1N667
100101837,Q9XIU8
100101839,Q9FRU5
100101840,Q9AV94
100101841,P02858
100101844,Q8LJU1
100101848,Q2XN58
100101849,K7LP57
100101853,Q43446
100101857,Q0PJJ9
100101858,I1KHA7
100101861,I1L3Y3
100101862,Q0GPF8
100101864,A3QRM4
100101865,A3RM03
100101866,A3RM04
100101867,A3RM05
100101868,I1MUL0
100101869,K7ME91
100101871,A0A0R0KHW1
100101874,C6TGZ0
100101881,K7MDC5
100101882,I1J4P8
100101884,I1M336
100101885,A0A0R0GDN5
100101886,K7MHS5
100101889,I1M889
100101890,A4ZGU1
100101891,A4ZPP3
100101892,A4ZPP4
100101893,A5A339
100101894,A5JNJ6
100101895,A5I866
100101896,A5JVZ7
100101897,A5JUQ4
100101898,A5JV32
100101899,A0A0R0F392
100101900,A0A0R0J5W4
100101901,A5Z1N7
100101902,A0A0R0G1T4
100101903,A5A6Y4
100101904,K7LTT5
100101908,Q4VPE5
100101909,A3RM06
100101912,I1KWX8
100101913,A5A338
100101914,A5JNJ5
100101915,A5Z2K3
100125585,A7Y7F6
100127361,I1JHM9
100127362,K7MY32
100127365,A7BID0
100127366,I1LDL1
100127367,K7K3I8
100127368,I1NBD2
100127369,I1J5V4
100127371,A0A0B4SXC9
100127373,C6TEF4
100127376,I1KZU8
100127377,A0A368UK48
100127378,A7LHG8
100127379,K7KFQ7
100127382,A0A0R0JEE2
100127383,I1KYG7
100127384,I1M456
100127385,I1JHI8
100127386,I1MH56
100127387,I1JRZ2
100127388,I1LT43
100127389,K7KLK9
100127392,A0A0R4J3W0
100127393,I1MBH2
