compound_id,name,chebi,log2fc,pvalue,pathways,n_pathways
C08320,(E)-3-Hexadecenoic acid,CHEBI:142241,-12.090443275081606,8.48558154734145e-08,map01040,1
C10435,"(Z)-4',6-Dihydroxyaurone 6-glucoside",CHEBI:142242,1.9030969174448125,0.3103596043960461,,0
C01177,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),CHEBI:75347,10.389093521904474,0.3910022189557705,map00562;map01100;map02010;map04070,4
C06037,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",CHEBI:142243,-0.1132166987064818,0.0002636146746579,map00561;map01100,2
C14765,13-OxoODE,CHEBI:72815,0.0899452473637052,0.0042313558106727,map00591,1
C10373,5-O-Methylembelin,CHEBI:65842,0.1076805803956444,0.03105346620328,,0
C10643,Arborinine,CHEBI:2804,0.0685443320050685,0.0563886579951507,,0
C08468,Auxin a,CHEBI:142254,-0.0343914986865483,0.0120663588702522,,0
C02495,Daidzein,CHEBI:28197,0.1416806220771888,7.386144355121556e-07,map00943;map01110,2
C10216,Daidzin,CHEBI:42202,11.97960382407446,0.0580001189844038,map00943;map00946;map01100,3
C00503,DL-Phenylalanine,CHEBI:28044,0.083267828213915,0.0055618335219764,map02010,1
C04079,D-Pantothenoyl-L-cysteine,CHEBI:18416,0.0,1.0,map00770,1
C00858,Formononetin,CHEBI:18088,0.1348167928759245,3.796591093522639e-08,map00943;map01061;map01100;map01110,4
C11365,Irinotecan,CHEBI:80630,-1.9875877637399808,0.1273080683974017,,0
C00062,L-Arginine,CHEBI:16467,0.3288767963960743,7.28504108923496e-05,map00220;map00261;map00330;map00331;map00470;map00970;map00998;map01060;map01064;map01100;map01110;map01230;map02010;map04148;map04150;map04974;map05014;map05022;map05142;map05146;map05230,21
C00078,L-Tryptophan,CHEBI:16828,11.97692206785108,1.859807700749127e-06,map00260;map00380;map00400;map00404;map00901;map00966;map00970;map00996;map00997;map00999;map01060;map01061;map01063;map01070;map01100;map01110;map01210;map01230;map01240;map04361;map04726;map04974;map04978;map05143;map05230,25
C03005,Methyl N-methylanthranilate,CHEBI:142267,12.117480772832984,3.4276373033129456e-08,map00996;map01063;map01110,3
C00384,Neomycin,CHEBI:7508,0.0849994870649997,0.0129115884550052,,0
C19670,Oleamide,CHEBI:116314,0.0007121255097397,0.8702129870977098,,0
C10514,Phaseollin,CHEBI:108,10.33147682185962,0.1818352988925175,,0
C08833,Pollinastanol,CHEBI:8286,0.0016929068369297,0.9526927256574688,,0
C10178,Robinin,CHEBI:8878,-0.4674571458725858,0.0185440175428599,,0
C17875,Sedanonic acid,CHEBI:142275,0.9304984214340156,0.0733517906028359,,0
C19865,Soyasaponin III,CHEBI:62867,0.0181894466668586,0.2804353213245137,,0
C01004,Trigonelline,CHEBI:18123,0.0137063912972695,0.0078284922401867,map00960,1
