enzyme_idx,string_id,uniprot_id
0,3847.A0A0G4DBR5,A0A0G4DBR5
1,3847.A0A0R0E2N3,A0A0R0E2N3
2,3847.A0A0R0E2W3,A0A0R0E2W3
3,3847.A0A0R0E2Z1,A0A0R0E2Z1
4,3847.A0A0R0E389,A0A0R0E389
5,3847.A0A0R0E568,A0A0R0E568
6,3847.A0A0R0E5W6,A0A0R0E5W6
7,3847.A0A0R0E6U1,A0A0R0E6U1
8,3847.A0A0R0E7Y9,A0A0R0E7Y9
9,3847.A0A0R0E897,A0A0R0E897
10,3847.A0A0R0E8U1,A0A0R0E8U1
11,3847.A0A0R0EA94,A0A0R0EA94
12,3847.A0A0R0EAS2,A0A0R0EAS2
13,3847.A0A0R0EBB0,A0A0R0EBB0
14,3847.A0A0R0EBB8,A0A0R0EBB8
15,3847.A0A0R0EBJ7,A0A0R0EBJ7
16,3847.A0A0R0EBJ8,A0A0R0EBJ8
17,3847.A0A0R0EC29,A0A0R0EC29
18,3847.A0A0R0ECR9,A0A0R0ECR9
19,3847.A0A0R0EDH2,A0A0R0EDH2
20,3847.A0A0R0EDM9,A0A0R0EDM9
21,3847.A0A0R0EF16,A0A0R0EF16
22,3847.A0A0R0EFL7,A0A0R0EFL7
23,3847.A0A0R0EG78,A0A0R0EG78
24,3847.A0A0R0EGA8,A0A0R0EGA8
25,3847.A0A0R0EGD1,A0A0R0EGD1
26,3847.A0A0R0EGI2,A0A0R0EGI2
27,3847.A0A0R0EH44,A0A0R0EH44
28,3847.A0A0R0EH83,A0A0R0EH83
29,3847.A0A0R0EHM4,A0A0R0EHM4
30,3847.A0A0R0EI27,A0A0R0EI27
31,3847.A0A0R0EII6,A0A0R0EII6
32,3847.A0A0R0EIR6,A0A0R0EIR6
33,3847.A0A0R0EIZ0,A0A0R0EIZ0
34,3847.A0A0R0EJ12,A0A0R0EJ12
35,3847.A0A0R0EJ26,A0A0R0EJ26
36,3847.A0A0R0EJ50,A0A0R0EJ50
37,3847.A0A0R0EJA0,A0A0R0EJA0
38,3847.A0A0R0EKD2,A0A0R0EKD2
39,3847.A0A0R0EL79,A0A0R0EL79
40,3847.A0A0R0EL96,A0A0R0EL96
