ChEBI,Name,Control_Mean,Ethylene_Mean,Log2FC,P_Value,KEGG
CHEBI:138781,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",4.59,4.4750000000000005,-0.036598395735971914,0.41859558838680483,
CHEBI:138781,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",4.6899999999999995,4.955,0.07928068664462028,1.1045275741106998e-06,
CHEBI:142241,(E)-3-Hexadecenoic acid,4.36,0.0,-12.090443275081606,8.48558154734145e-08,C08320
CHEBI:142242,"(Z)-4',6-Dihydroxyaurone 6-glucoside",0.7225,2.705,1.9030969174448125,0.31035960439604615,C10435
CHEBI:75347,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),0.0,1.34,10.389093521904474,0.39100221895577053,C01177
CHEBI:75347,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),5.34,3.945,-0.43671892816857594,0.3666710107355139,C01177
CHEBI:142243,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",4.835000000000001,4.470000000000001,-0.11321669870648181,0.00026361467465797544,C06037
CHEBI:142245,13Z-Docosenamide,5.8,5.7775,-0.005606577015041676,0.7353706061422534,
CHEBI:72815,13-OxoODE,3.8075,4.0525,0.08994524736370521,0.004231355810672765,C14765
CHEBI:142246,16-Hydroxy-10-oxohexadecanoic acid,3.5200000000000005,3.7649999999999997,0.09704777275109659,0.11466820520422213,
CHEBI:142247,"2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one",4.465,5.4425,0.28555130637801696,4.4810470902843906e-05,
CHEBI:72719,"4E,15Z-Bilirubin IXa",4.3100000000000005,0.0,-12.073806847178492,1.8455507696129696e-06,
CHEBI:65842,5-O-Methylembelin,3.9025000000000003,4.205,0.10768058039564446,0.03105346620328007,C10373
CHEBI:142248,6''-Malonylastragalin,0.0,4.442500000000001,12.117480772832984,7.450115978649134e-08,
CHEBI:80372,6''-Malonylgenistin,0.0,4.36,12.090443275081606,5.283273665148218e-07,
CHEBI:80372,6''-Malonylgenistin,5.075,5.82,0.19757494840681025,3.760927695967634e-06,
CHEBI:133395,6''-O-Acetyldaidzin,0.0,5.040000000000001,12.299494239009364,1.722554540691766e-08,
CHEBI:142249,6''-O-Acetylgenistin,0.0,4.710000000000001,12.201817616667922,2.1275771037144995e-07,
CHEBI:80371,6''-O-Malonyldaidzin,0.0,2.37,11.211279947482009,0.18169153056378265,
CHEBI:80371,6''-O-Malonyldaidzin,4.89,5.902500000000001,0.27144107209065665,6.262914946836191e-07,
CHEBI:142250,"9,12-Octadecadiynoic Acid",5.645,5.455,-0.049385484425520335,0.0001517115161441844,
CHEBI:134511,"9-Oxo-15S-hydroxy-5Z,8(12),13E,17Z-prostatetraenoic acid",5.08,5.0575,-0.00640281901486138,0.7668382238469431,
CHEBI:142251,9-OxoOTrE,4.325,3.9875,-0.11718738738315512,0.00783953784226986,
CHEBI:142252,Acrimarine H,0.0,1.26,10.30035256032822,0.39100221895577053,
CHEBI:142253,alpha-Rhamnorobin,3.91,4.9225,0.3321467220660967,0.00032401871883768965,
CHEBI:2804,Arborinine,4.88,5.1175,0.0685443320050685,0.05638865799515074,C10643
CHEBI:142254,Auxin a,4.5625,4.455,-0.0343914986865483,0.012066358870252255,C08468
CHEBI:53690,beta-D-Glucuronopyranosyl-(1->3)-alpha-D-galacturonopyranosyl-(1->2)-L-rhamnose,3.39,4.945,0.5445514553645071,4.48520932777149e-07,
CHEBI:142255,Calenduloside B,5.715,5.675000000000001,-0.010131327035264821,0.382416113161495,
CHEBI:142256,Cappariloside A,0.0,1.4575,10.510269670898177,0.18169105032612254,
CHEBI:138790,D-1-[(3-Carboxypropyl)amino]-1-deoxyfructose,3.45,3.8875,0.17219926501118032,0.0013301137842115767,
CHEBI:28197,Daidzein,5.0625,5.585000000000001,0.14168062207718887,7.386144355121556e-07,C02495
CHEBI:42202,Daidzin,0.0,4.0375000000000005,11.979603824074461,0.058000118984403846,C10216
CHEBI:20386,Dehydrophytosphingosine,3.745,3.3524999999999996,-0.15968329752827992,0.08241672798993983,
CHEBI:88805,"DG(14:0/20:3(8Z,11Z,14Z)/0:0)",5.165,4.2975,-0.2652143371524377,0.0001726958325100555,
CHEBI:142257,Dihydrofukinolide,4.8225,4.915,0.02740454929063138,0.0009010493078551603,
CHEBI:75852,"Dilinolenin (9c,12c,15c)",5.1875,4.595,-0.1749387164479711,9.996722087179213e-06,
CHEBI:28044,DL-Phenylalanine,4.375,4.635,0.08326782821391507,0.005561833521976496,C00503
CHEBI:18416,D-Pantothenoyl-L-cysteine,0.0,0.0,0.0,1.0,C04079
CHEBI:18088,Formononetin,4.5675,5.015,0.13481679287592455,3.796591093522639e-08,C00858
CHEBI:142258,Ganoderic acid F,5.27,3.3175,-0.6675454178367117,0.17567861288576903,
CHEBI:142258,Ganoderic acid F,1.045,1.1125,0.09021870654084843,0.9661665576354295,
