ChEBI,Name,Control_Mean,Ethylene_Mean,Log2FC,P_Value,KEGG,q_value
CHEBI:138781,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",4.59,4.4750000000000005,-0.0365983957359719,0.4185955883868048,,0.49356793257548626
CHEBI:138781,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",4.69,4.955,0.0792806866446202,1.1045275741106998e-06,,6.712129104211176e-06
CHEBI:142241,(E)-3-Hexadecenoic acid,4.36,0.0,-12.090443275081606,8.48558154734145e-08,C08320,1.1172682370666242e-06
CHEBI:142242,"(Z)-4',6-Dihydroxyaurone 6-glucoside",0.7225,2.705,1.9030969174448125,0.3103596043960461,C10435,0.4155662499540278
CHEBI:75347,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),0.0,1.34,10.389093521904474,0.3910022189557705,C01177,0.4752180815000902
CHEBI:75347,1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),5.34,3.945,-0.4367189281685759,0.3666710107355139,C01177,0.4748690139033705
CHEBI:142243,"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",4.835000000000001,4.470000000000001,-0.1132166987064818,0.0002636146746579,C06037,0.0008677316374155874
CHEBI:142245,13Z-Docosenamide,5.8,5.7775,-0.0056065770150416,0.7353706061422534,,0.8182292659892679
CHEBI:72815,13-OxoODE,3.8075,4.0525,0.0899452473637052,0.0042313558106727,C14765,0.01114257030143811
CHEBI:142246,16-Hydroxy-10-oxohexadecanoic acid,3.5200000000000005,3.765,0.0970477727510965,0.1146682052042221,,0.18872475439861555
CHEBI:142247,"2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one",4.465,5.4425,0.2855513063780169,4.481047090284391e-05,,0.000186317221122351
CHEBI:72719,"4E,15Z-Bilirubin IXa",4.3100000000000005,0.0,-12.073806847178492,1.8455507696129696e-06,,9.182800522448815e-06
