Metabolite_Name,ChEBI,PlantCyc_Compound_ID,PlantCyc_Pathway_ID,ORGID
"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",CHEBI:138781,,,META
"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",CHEBI:138781,,,META
(E)-3-Hexadecenoic acid,CHEBI:142241,,,META
"(Z)-4',6-Dihydroxyaurone 6-glucoside",CHEBI:142242,,,META
1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),CHEBI:75347,,,META
1-(10Z-Heptadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol),CHEBI:75347,,,META
"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",CHEBI:142243,,,META
13Z-Docosenamide,CHEBI:142245,CPD-23010,,META
13-OxoODE,CHEBI:72815,CPD-24626,PWY-8395,META
13-OxoODE,CHEBI:72815,CPD-24626,Icosanoid-Metabolism,META
16-Hydroxy-10-oxohexadecanoic acid,CHEBI:142246,,,META
"2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one",CHEBI:142247,,,META
"4E,15Z-Bilirubin IXa",CHEBI:72719,,,META
5-O-Methylembelin,CHEBI:65842,,,META
6''-Malonylastragalin,CHEBI:142248,,,META
6''-Malonylgenistin,CHEBI:80372,,,META
6''-Malonylgenistin,CHEBI:80372,,,META
6''-O-Acetyldaidzin,CHEBI:133395,,,META
6''-O-Acetylgenistin,CHEBI:142249,,,META
6''-O-Malonyldaidzin,CHEBI:80371,,,META
6''-O-Malonyldaidzin,CHEBI:80371,,,META
"9,12-Octadecadiynoic Acid",CHEBI:142250,,,META
"9-Oxo-15S-hydroxy-5Z,8(12),13E,17Z-prostatetraenoic acid",CHEBI:134511,,,META
9-OxoOTrE,CHEBI:142251,,,META
Acrimarine H,CHEBI:142252,,,META
alpha-Rhamnorobin,CHEBI:142253,,,META
Arborinine,CHEBI:2804,,,META
Auxin a,CHEBI:142254,,,META
beta-D-Glucuronopyranosyl-(1->3)-alpha-D-galacturonopyranosyl-(1->2)-L-rhamnose,CHEBI:53690,,,META
Calenduloside B,CHEBI:142255,,,META
Cappariloside A,CHEBI:142256,,,META
D-1-[(3-Carboxypropyl)amino]-1-deoxyfructose,CHEBI:138790,,,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-6996,META
Daidzein,CHEBI:28197,DAIDZEIN,FLAVONOID-DEG,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-8445,META
Daidzein,CHEBI:28197,DAIDZEIN,FLAVONOID-DEG,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-6332,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-SYN,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-2761,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-PHYTOALEXINS,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-SYN,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-2055,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-SYN,META
Daidzein,CHEBI:28197,DAIDZEIN,Super-Pathways,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-3042,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-2761,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-2762,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-2343,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-PHYTOALEXINS,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-SYN,META
Daidzein,CHEBI:28197,DAIDZEIN,Interconversion,META
Daidzein,CHEBI:28197,DAIDZEIN,PWY-2321,META
Daidzein,CHEBI:28197,DAIDZEIN,ISOFLAVONOID-PHYTOALEXINS,META
