Protein IDs,Gene names,Protein names,Fasta headers,Log2FC,P_Value,Mean_Control,Mean_Ethylene
Q9UE12;Q15323;A2A5Y0;REFSEQ:XP_986630;Q9D646;O76011;Q92764;Q8IUT8;Q497I4;O76013,KRT31;Krt31;Krt34;KRT34;KRT35,,"Q9UE12 TREMBL:Q9UE12 Type I hair keratin 1 - Homo sapiens (Human).;Q15323 SWISS-PROT:Q15323 Keratin, type I cuticular HA1 (Hair keratin, type I HA1);A2A5Y0 TREMBL:A2A5Y0 Tax_Id=10090 Gene_Symbol=Krt31 keratin complex 1, acidic, gene 1;REFSEQ:XP_986630 Tax_",0.0,1.0,70960.0,70960.0
Glyma.01G000700.1.p;Glyma.08G360000.6.p;Glyma.08G360000.5.p;Glyma.08G360000.4.p;Glyma.08G360000.3.p;Glyma.08G360000.2.p;Glyma.08G360000.1.p,,,Glyma.01G000700.1.p pacid=30542002 transcript=Glyma.01G000700.1 locus=Glyma.01G000700 ID=Glyma.01G000700.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.08G360000.6.p pacid=30540471 transcript=Glyma.08G360000.6 locus=Glyma.08G360000 ID=Glyma.08G360000.6.Wm82.a,-0.1139998966545794,0.9541887480516258,841040.0,777140.0
Glyma.01G001300.2.p;Glyma.01G001300.1.p,,,Glyma.01G001300.2.p pacid=30544328 transcript=Glyma.01G001300.2 locus=Glyma.01G001300 ID=Glyma.01G001300.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G001300.1.p pacid=30544327 transcript=Glyma.01G001300.1 locus=Glyma.01G001300 ID=Glyma.01G001300.1.Wm82.a,-1.5978305856797863,0.0248868043583694,15676000.0,5178933.333333333
Glyma.01G002400.1.p;Glyma.07G129900.1.p,,,Glyma.01G002400.1.p pacid=30541831 transcript=Glyma.01G002400.1 locus=Glyma.01G002400 ID=Glyma.01G002400.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.07G129900.1.p pacid=30494857 transcript=Glyma.07G129900.1 locus=Glyma.07G129900 ID=Glyma.07G129900.1.Wm82.a,-1.0631578709741158,0.1732708364288501,5908800.0,2827853.333333333
Glyma.01G002600.1.p,,,Glyma.01G002600.1.p pacid=30543303 transcript=Glyma.01G002600.1 locus=Glyma.01G002600 ID=Glyma.01G002600.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,-0.0556797728298872,0.8375318135485483,1480933333.3333333,1424866666.6666667
Glyma.01G002900.1.p,,,Glyma.01G002900.1.p pacid=30544339 transcript=Glyma.01G002900.1 locus=Glyma.01G002900 ID=Glyma.01G002900.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,-0.2621889203339096,0.6406910021726808,641400000.0,534813333.3333333
Glyma.01G004100.2.p;Glyma.01G004100.1.p;Glyma.07G127800.3.p;Glyma.07G127800.2.p;Glyma.07G127800.1.p,,,Glyma.01G004100.2.p pacid=30543123 transcript=Glyma.01G004100.2 locus=Glyma.01G004100 ID=Glyma.01G004100.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G004100.1.p pacid=30543122 transcript=Glyma.01G004100.1 locus=Glyma.01G004100 ID=Glyma.01G004100.1.Wm82.a,0.1558064564053508,0.8031516648793626,4305933.333333333,4797000.0
Glyma.01G004200.4.p;Glyma.01G004200.2.p;Glyma.01G004200.1.p;Glyma.01G004200.3.p;Glyma.07G127700.1.p,,,Glyma.01G004200.4.p pacid=30544361 transcript=Glyma.01G004200.4 locus=Glyma.01G004200 ID=Glyma.01G004200.4.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G004200.2.p pacid=30544362 transcript=Glyma.01G004200.2 locus=Glyma.01G004200 ID=Glyma.01G004200.2.Wm82.a,2.0505263542376637,0.0062776905162865,335926666.6666667,1391600000.0
Glyma.07G127500.1.p;Glyma.01G004300.2.p;Glyma.01G004300.1.p,,,Glyma.07G127500.1.p pacid=30495150 transcript=Glyma.07G127500.1 locus=Glyma.07G127500 ID=Glyma.07G127500.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G004300.2.p pacid=30544761 transcript=Glyma.01G004300.2 locus=Glyma.01G004300 ID=Glyma.01G004300.2.Wm82.a,-0.1840298015406824,0.7290999124420963,228653333.3333333,201270000.0
Glyma.07G127300.1.p;Glyma.01G004500.2.p;Glyma.01G004500.1.p;Glyma.05G224200.3.p;Glyma.08G031200.5.p;Glyma.08G031200.4.p;Glyma.08G031200.3.p;Glyma.08G031200.2.p;Glyma.08G031200.1.p;Glyma.05G224200.2.p;Glyma.05G224200.1.p,,,Glyma.07G127300.1.p pacid=30492899 transcript=Glyma.07G127300.1 locus=Glyma.07G127300 ID=Glyma.07G127300.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G004500.2.p pacid=30541946 transcript=Glyma.01G004500.2 locus=Glyma.01G004500 ID=Glyma.01G004500.2.Wm82.a,-1.1262731930595915,0.6406073059235575,1469206.6666666667,673040.0
