metabolite_kegg,metabolite_idx,rank,enzyme_idx,uniprot_id,string_id,score
C00007,0,1,842,C6TIM5,3847.C6TIM5,0.8720986843109131
C00007,0,2,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.8713537454605103
C00007,0,3,971,I1JCG8,3847.I1JCG8,0.869857907295227
C00007,0,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.85869300365448
C00007,0,5,1934,I1LW34,3847.I1LW34,0.8319761753082275
C00007,0,6,814,C6T8Y4,3847.C6T8Y4,0.8281877636909485
C00007,0,7,3421,Q9SYR0,3847.Q9SYR0,0.8257327079772949
C00007,0,8,2098,I1MAM5,3847.I1MAM5,0.795636773109436
C00007,0,9,2097,I1MAM4,3847.I1MAM4,0.7844522595405579
C00007,0,10,3174,K7MPN5,3847.K7MPN5,0.7474892735481262
C00007,0,11,3037,K7M5A2,3847.K7M5A2,0.7406550049781799
C00007,0,12,2879,K7LIJ3,3847.K7LIJ3,0.7125455141067505
C00007,0,13,1721,I1L905,3847.I1L905,0.7103592157363892
C00007,0,14,2602,K7KAN4,3847.K7KAN4,0.7007197737693787
C00007,0,15,2350,I1N0Y1,3847.I1N0Y1,0.6861509680747986
C00007,0,16,2277,I1MSY9,3847.I1MSY9,0.672493040561676
C00007,0,17,3184,K7MQT5,3847.K7MQT5,0.6616774797439575
C00007,0,18,671,A0A0R4J338,3847.A0A0R4J338,0.6588424444198608
C00007,0,19,3365,Q2PMU3,3847.Q2PMU3,0.6569318175315857
C00007,0,20,976,I1JCZ8,3847.I1JCZ8,0.6532885432243347
C00015,1,1,1058,I1JK97,3847.I1JK97,0.8016729354858398
C00015,1,2,2467,I1NC73,3847.I1NC73,0.7969381809234619
C00015,1,3,1887,I1LRK5,3847.I1LRK5,0.7949347496032715
C00015,1,4,2061,I1M791,3847.I1M791,0.7947623133659363
C00015,1,5,2345,I1N0D5,3847.I1N0D5,0.7940255999565125
C00015,1,6,3412,Q9LKY4,3847.Q9LKY4,0.7916487455368042
C00015,1,7,1408,I1KIC2,3847.I1KIC2,0.791404664516449
C00015,1,8,3258,K7MZR6,3847.K7MZR6,0.7907254099845886
C00015,1,9,2533,I1NIT6,3847.I1NIT6,0.7906849980354309
C00015,1,10,3059,K7M8N2,3847.K7M8N2,0.7906127572059631
C00015,1,11,1149,I1JTZ3,3847.I1JTZ3,0.7905574440956116
C00015,1,12,3096,K7MES8,3847.K7MES8,0.7902449369430542
C00015,1,13,3259,K7N016,3847.K7N016,0.7897109389305115
C00015,1,14,1744,I1LBG8,3847.I1LBG8,0.7897093892097473
C00015,1,15,2809,K7L8E8,3847.K7L8E8,0.7896224856376648
C00015,1,16,853,C6TNL5,3847.C6TNL5,0.7894394993782043
C00015,1,17,2318,I1MWD6,3847.I1MWD6,0.788574755191803
C00015,1,18,1194,I1JY21,3847.I1JY21,0.7885687351226807
C00015,1,19,1219,I1K090,3847.I1K090,0.788567066192627
C00015,1,20,2644,K7KGV1,3847.K7KGV1,0.78854900598526
C00016,2,1,842,C6TIM5,3847.C6TIM5,0.8106710910797119
C00016,2,2,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.8028032779693604
C00016,2,3,971,I1JCG8,3847.I1JCG8,0.80210280418396
C00016,2,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.8006089329719543
C00016,2,5,814,C6T8Y4,3847.C6T8Y4,0.7756220698356628
C00016,2,6,3421,Q9SYR0,3847.Q9SYR0,0.7540094256401062
C00016,2,7,1934,I1LW34,3847.I1LW34,0.7242422699928284
C00016,2,8,2098,I1MAM5,3847.I1MAM5,0.7012841105461121
C00016,2,9,2097,I1MAM4,3847.I1MAM4,0.6954593062400818
C00016,2,10,3037,K7M5A2,3847.K7M5A2,0.6898114681243896
C00016,2,11,3174,K7MPN5,3847.K7MPN5,0.6865516304969788
C00016,2,12,671,A0A0R4J338,3847.A0A0R4J338,0.6851859092712402
C00016,2,13,2879,K7LIJ3,3847.K7LIJ3,0.6804692149162292
C00016,2,14,686,A0A0R4J4Q1,3847.A0A0R4J4Q1,0.676650881767273
C00016,2,15,2277,I1MSY9,3847.I1MSY9,0.6763244271278381
C00016,2,16,572,A0A0R0KKK6,3847.A0A0R0KKK6,0.6763226389884949
C00016,2,17,1578,I1KVY3,3847.I1KVY3,0.6751652359962463
C00016,2,18,46,A0A0R0EM30,3847.A0A0R0EM30,0.6744107007980347
C00016,2,19,1318,I1K9R6,3847.I1K9R6,0.6729121804237366
C00016,2,20,695,A0A0R4J5H8,3847.A0A0R4J5H8,0.6726909279823303
C00017,3,1,1058,I1JK97,3847.I1JK97,0.7536048889160156
C00017,3,2,2467,I1NC73,3847.I1NC73,0.7451032400131226
C00017,3,3,1470,I1KN33,3847.I1KN33,0.7415007948875427
C00017,3,4,2061,I1M791,3847.I1M791,0.7413619160652161
C00017,3,5,3258,K7MZR6,3847.K7MZR6,0.7411270141601562
C00017,3,6,1408,I1KIC2,3847.I1KIC2,0.7405431866645813
C00017,3,7,1887,I1LRK5,3847.I1LRK5,0.7405428290367126
C00017,3,8,1087,I1JNF9,3847.I1JNF9,0.7396558523178101
C00017,3,9,1049,I1JJG5,3847.I1JJG5,0.7378448247909546
C00017,3,10,1149,I1JTZ3,3847.I1JTZ3,0.7374391555786133
C00017,3,11,1744,I1LBG8,3847.I1LBG8,0.737431526184082
C00017,3,12,3259,K7N016,3847.K7N016,0.7372586727142334
C00017,3,13,2886,K7LJR3,3847.K7LJR3,0.7371538281440735
C00017,3,14,733,A0A368UIA4,3847.A0A368UIA4,0.7368695139884949
C00017,3,15,2897,K7LKV4,3847.K7LKV4,0.7366783022880554
C00017,3,16,2064,I1M7D3,3847.I1M7D3,0.7361488938331604
C00017,3,17,3412,Q9LKY4,3847.Q9LKY4,0.7361019849777222
C00017,3,18,2271,I1MS93,3847.I1MS93,0.7354326844215393
C00017,3,19,2798,K7L6T7,3847.K7L6T7,0.7353686690330505
C00017,3,20,2869,K7LGQ9,3847.K7LGQ9,0.7350335717201233
C00018,4,1,3127,K7MJI4,3847.K7MJI4,0.485607773065567
C00018,4,2,296,A0A0R0HBG9,3847.A0A0R0HBG9,0.484205961227417
C00018,4,3,1038,I1JID0,3847.I1JID0,0.48383525013923645
C00018,4,4,654,A0A0R0LGF8,3847.A0A0R0LGF8,0.48329219222068787
C00018,4,5,1418,I1KIQ3,3847.I1KIQ3,0.481903612613678
C00018,4,6,1158,I1JUN7,3847.I1JUN7,0.4818633198738098
C00018,4,7,1270,I1K5A7,3847.I1K5A7,0.479775607585907
C00018,4,8,2711,K7KTX9,3847.K7KTX9,0.47964733839035034
C00018,4,9,310,A0A0R0HFU2,3847.A0A0R0HFU2,0.4789080023765564
C00018,4,10,3293,O81980,3847.O81980,0.47824323177337646
C00018,4,11,3114,K7MHK0,3847.K7MHK0,0.4776860177516937
C00018,4,12,680,A0A0R4J4A1,3847.A0A0R4J4A1,0.4764859676361084
C00018,4,13,877,C6ZRU5,3847.C6ZRU5,0.4764670431613922
C00018,4,14,1025,I1JHF8,3847.I1JHF8,0.47625312209129333
C00018,4,15,1425,I1KJF1,3847.I1KJF1,0.4759581983089447
C00018,4,16,1238,I1K2D0,3847.I1K2D0,0.47589701414108276
C00018,4,17,948,I1JAE9,3847.I1JAE9,0.47558069229125977
C00018,4,18,235,A0A0R0GI21,3847.A0A0R0GI21,0.47546613216400146
C00018,4,19,1831,I1LJH6,3847.I1LJH6,0.47521352767944336
C00018,4,20,118,A0A0R0FE45,3847.A0A0R0FE45,0.47511565685272217
C00019,5,1,842,C6TIM5,3847.C6TIM5,0.8165764808654785
C00019,5,2,971,I1JCG8,3847.I1JCG8,0.8106057643890381
C00019,5,3,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.8097318410873413
C00019,5,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.8026840090751648
C00019,5,5,814,C6T8Y4,3847.C6T8Y4,0.7757903337478638
C00019,5,6,3421,Q9SYR0,3847.Q9SYR0,0.7640447616577148
C00019,5,7,1934,I1LW34,3847.I1LW34,0.7482773661613464
C00019,5,8,2098,I1MAM5,3847.I1MAM5,0.7215540409088135
C00019,5,9,2097,I1MAM4,3847.I1MAM4,0.7148358821868896
C00019,5,10,3174,K7MPN5,3847.K7MPN5,0.6923321485519409
C00019,5,11,3037,K7M5A2,3847.K7M5A2,0.6885240077972412
C00019,5,12,2879,K7LIJ3,3847.K7LIJ3,0.6775010228157043
C00019,5,13,2602,K7KAN4,3847.K7KAN4,0.6643934845924377
C00019,5,14,671,A0A0R4J338,3847.A0A0R4J338,0.6638880372047424
C00019,5,15,2277,I1MSY9,3847.I1MSY9,0.6594626903533936
C00019,5,16,695,A0A0R4J5H8,3847.A0A0R4J5H8,0.6506286859512329
C00019,5,17,46,A0A0R0EM30,3847.A0A0R0EM30,0.6501713991165161
C00019,5,18,1578,I1KVY3,3847.I1KVY3,0.650034487247467
C00019,5,19,686,A0A0R4J4Q1,3847.A0A0R4J4Q1,0.6475056409835815
C00019,5,20,1318,I1K9R6,3847.I1K9R6,0.6465710997581482
C00021,6,1,842,C6TIM5,3847.C6TIM5,0.7472134232521057
C00021,6,2,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.7385945320129395
C00021,6,3,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.7373926043510437
C00021,6,4,971,I1JCG8,3847.I1JCG8,0.7363599538803101
C00021,6,5,814,C6T8Y4,3847.C6T8Y4,0.7196706533432007
C00021,6,6,3421,Q9SYR0,3847.Q9SYR0,0.688546895980835
C00021,6,7,686,A0A0R4J4Q1,3847.A0A0R4J4Q1,0.6599899530410767
C00021,6,8,671,A0A0R4J338,3847.A0A0R4J338,0.6574676632881165
C00021,6,9,46,A0A0R0EM30,3847.A0A0R0EM30,0.6493934988975525
C00021,6,10,1318,I1K9R6,3847.I1K9R6,0.6493672728538513
C00021,6,11,1934,I1LW34,3847.I1LW34,0.6488052606582642
C00021,6,12,572,A0A0R0KKK6,3847.A0A0R0KKK6,0.6474165320396423
C00021,6,13,695,A0A0R4J5H8,3847.A0A0R4J5H8,0.6473062634468079
C00021,6,14,1578,I1KVY3,3847.I1KVY3,0.6472568511962891
C00021,6,15,2277,I1MSY9,3847.I1MSY9,0.6468103528022766
C00021,6,16,846,C6TKA3,3847.C6TKA3,0.6448529958724976
C00021,6,17,2098,I1MAM5,3847.I1MAM5,0.6384268999099731
C00021,6,18,2879,K7LIJ3,3847.K7LIJ3,0.6375297904014587
C00021,6,19,694,A0A0R4J5H2,3847.A0A0R4J5H2,0.6371868252754211
C00021,6,20,2097,I1MAM4,3847.I1MAM4,0.6363562941551208
C00022,7,1,2156,I1MFV2,3847.I1MFV2,0.6041319966316223
C00022,7,2,3205,K7MTY9,3847.K7MTY9,0.5958006978034973
C00022,7,3,888,D4Q9Z5,3847.D4Q9Z5,0.5926035046577454
C00022,7,4,1058,I1JK97,3847.I1JK97,0.5919114947319031
C00022,7,5,1784,I1LEK0,3847.I1LEK0,0.5905605554580688
C00022,7,6,1551,I1KTE1,3847.I1KTE1,0.5903218388557434
C00022,7,7,1791,I1LFN3,3847.I1LFN3,0.5897619128227234
C00022,7,8,1758,I1LCJ1,3847.I1LCJ1,0.5887285470962524
C00022,7,9,1841,I1LLE0,3847.I1LLE0,0.588702380657196
C00022,7,10,1259,I1K4U7,3847.I1K4U7,0.5884809494018555
C00022,7,11,2038,I1M561,3847.I1M561,0.5883326530456543
C00022,7,12,1378,I1KEV6,3847.I1KEV6,0.5880225896835327
C00022,7,13,3207,K7MU28,3847.K7MU28,0.5879564881324768
C00022,7,14,2684,K7KNQ7,3847.K7KNQ7,0.5876725316047668
C00022,7,15,2279,I1MT93,3847.I1MT93,0.5876690149307251
C00022,7,16,2467,I1NC73,3847.I1NC73,0.5874934196472168
C00022,7,17,2840,K7LCZ8,3847.K7LCZ8,0.5871139168739319
C00022,7,18,3116,K7MHQ9,3847.K7MHQ9,0.5870469212532043
C00022,7,19,3149,K7MM15,3847.K7MM15,0.5869729518890381
C00022,7,20,2798,K7L6T7,3847.K7L6T7,0.5867924690246582
C00024,8,1,842,C6TIM5,3847.C6TIM5,0.7623665928840637
C00024,8,2,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.7555031180381775
C00024,8,3,971,I1JCG8,3847.I1JCG8,0.7531112432479858
C00024,8,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.7494056224822998
C00024,8,5,814,C6T8Y4,3847.C6T8Y4,0.7291548848152161
C00024,8,6,3421,Q9SYR0,3847.Q9SYR0,0.7152410745620728
C00024,8,7,1934,I1LW34,3847.I1LW34,0.7021507024765015
C00024,8,8,2098,I1MAM5,3847.I1MAM5,0.6779784560203552
C00024,8,9,2097,I1MAM4,3847.I1MAM4,0.6742828488349915
C00024,8,10,3174,K7MPN5,3847.K7MPN5,0.6580690145492554
C00024,8,11,3037,K7M5A2,3847.K7M5A2,0.6559001207351685
C00024,8,12,671,A0A0R4J338,3847.A0A0R4J338,0.6496453285217285
C00024,8,13,2879,K7LIJ3,3847.K7LIJ3,0.6494390368461609
C00024,8,14,46,A0A0R0EM30,3847.A0A0R0EM30,0.6435427665710449
C00024,8,15,695,A0A0R4J5H8,3847.A0A0R4J5H8,0.6432679891586304
C00024,8,16,686,A0A0R4J4Q1,3847.A0A0R4J4Q1,0.6419957280158997
C00024,8,17,1578,I1KVY3,3847.I1KVY3,0.6411550045013428
C00024,8,18,1318,I1K9R6,3847.I1K9R6,0.6401827931404114
C00024,8,19,2602,K7KAN4,3847.K7KAN4,0.6401497721672058
C00024,8,20,572,A0A0R0KKK6,3847.A0A0R0KKK6,0.6397842168807983
C00025,9,1,842,C6TIM5,3847.C6TIM5,0.8560987114906311
C00025,9,2,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.8547543883323669
C00025,9,3,971,I1JCG8,3847.I1JCG8,0.8510738611221313
C00025,9,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.8429433703422546
C00025,9,5,814,C6T8Y4,3847.C6T8Y4,0.8222847580909729
C00025,9,6,3421,Q9SYR0,3847.Q9SYR0,0.8107647895812988
C00025,9,7,1934,I1LW34,3847.I1LW34,0.8090401291847229
C00025,9,8,2098,I1MAM5,3847.I1MAM5,0.766828179359436
C00025,9,9,2097,I1MAM4,3847.I1MAM4,0.7592259049415588
C00025,9,10,3174,K7MPN5,3847.K7MPN5,0.7454284429550171
C00025,9,11,3037,K7M5A2,3847.K7M5A2,0.7435622811317444
C00025,9,12,2879,K7LIJ3,3847.K7LIJ3,0.7239709496498108
C00025,9,13,671,A0A0R4J338,3847.A0A0R4J338,0.7063776254653931
C00025,9,14,2602,K7KAN4,3847.K7KAN4,0.7044515609741211
C00025,9,15,695,A0A0R4J5H8,3847.A0A0R4J5H8,0.6917199492454529
C00025,9,16,1578,I1KVY3,3847.I1KVY3,0.6911657452583313
C00025,9,17,2277,I1MSY9,3847.I1MSY9,0.6909319758415222
C00025,9,18,46,A0A0R0EM30,3847.A0A0R0EM30,0.6905891299247742
C00025,9,19,846,C6TKA3,3847.C6TKA3,0.6899447441101074
C00025,9,20,572,A0A0R0KKK6,3847.A0A0R0KKK6,0.6892005205154419
C00026,10,1,842,C6TIM5,3847.C6TIM5,0.9090768098831177
C00026,10,2,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.9077640771865845
C00026,10,3,971,I1JCG8,3847.I1JCG8,0.9065157175064087
C00026,10,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.8959623575210571
C00026,10,5,1934,I1LW34,3847.I1LW34,0.8761679530143738
C00026,10,6,814,C6T8Y4,3847.C6T8Y4,0.8696225881576538
C00026,10,7,3421,Q9SYR0,3847.Q9SYR0,0.868134617805481
C00026,10,8,2098,I1MAM5,3847.I1MAM5,0.8390381932258606
C00026,10,9,2097,I1MAM4,3847.I1MAM4,0.8272157311439514
C00026,10,10,3174,K7MPN5,3847.K7MPN5,0.7903620004653931
C00026,10,11,3037,K7M5A2,3847.K7M5A2,0.7843911051750183
C00026,10,12,2879,K7LIJ3,3847.K7LIJ3,0.7518673539161682
C00026,10,13,1721,I1L905,3847.I1L905,0.7501540184020996
C00026,10,14,2602,K7KAN4,3847.K7KAN4,0.7323701977729797
C00026,10,15,2350,I1N0Y1,3847.I1N0Y1,0.7170620560646057
C00026,10,16,2277,I1MSY9,3847.I1MSY9,0.6987456679344177
C00026,10,17,3184,K7MQT5,3847.K7MQT5,0.69126296043396
C00026,10,18,3365,Q2PMU3,3847.Q2PMU3,0.6845380067825317
C00026,10,19,3263,K7N1N7,3847.K7N1N7,0.6826126575469971
C00026,10,20,976,I1JCZ8,3847.I1JCZ8,0.6816931962966919
C00028,11,1,681,A0A0R4J4B4,3847.A0A0R4J4B4,0.9500028491020203
C00028,11,2,842,C6TIM5,3847.C6TIM5,0.9494706988334656
C00028,11,3,971,I1JCG8,3847.I1JCG8,0.9484787583351135
C00028,11,4,696,A0A0R4J5K2,3847.A0A0R4J5K2,0.9371516108512878
C00028,11,5,1934,I1LW34,3847.I1LW34,0.9275909066200256
