Rank,TF_Idx,Enzyme_Idx,Score,TF_Annotation,Enzyme_Annotation,In_Training
1,1212,1712,22.096208572387695,TF_1212,Enzyme_1712,No
2,1200,1712,16.931331634521484,TF_1200,Enzyme_1712,No
3,1801,1712,16.931331634521484,TF_1801,Enzyme_1712,No
4,1212,2538,16.194671630859375,TF_1212,Enzyme_2538,No
5,1212,1768,15.494804382324219,TF_1212,Enzyme_1768,No
6,601,1712,15.111934661865234,TF_601,Enzyme_1712,No
7,1212,2428,13.334595680236816,TF_1212,Enzyme_2428,No
8,139,1712,12.948270797729492,TF_139,Enzyme_1712,No
9,2746,1712,12.90131664276123,TF_2746,Enzyme_1712,No
10,1801,2538,12.524332046508789,TF_1801,Enzyme_2538,No
11,1200,2538,12.524330139160156,TF_1200,Enzyme_2538,No
12,1212,796,11.967681884765625,TF_1212,Enzyme_796,No
13,1801,1768,11.922714233398438,TF_1801,Enzyme_1768,No
14,1200,1768,11.922710418701172,TF_1200,Enzyme_1768,No
15,601,2538,11.135074615478516,TF_601,Enzyme_2538,No
16,601,1768,10.623897552490234,TF_601,Enzyme_1768,No
17,1212,2445,10.54387092590332,TF_1212,Enzyme_2445,No
18,1801,2428,10.307764053344727,TF_1801,Enzyme_2428,No
19,1200,2428,10.307762145996094,TF_1200,Enzyme_2428,No
20,1212,824,9.801836013793945,TF_1212,Enzyme_824,No
21,1212,2839,9.787643432617188,TF_1212,Enzyme_2839,No
22,139,2538,9.472036361694336,TF_139,Enzyme_2538,No
23,1801,796,9.219503402709961,TF_1801,Enzyme_796,No
24,1200,796,9.219501495361328,TF_1200,Enzyme_796,No
25,601,2428,9.172409057617188,TF_601,Enzyme_2428,No
26,139,1768,9.076391220092773,TF_139,Enzyme_1768,No
27,2746,2538,9.069438934326172,TF_2746,Enzyme_2538,No
28,2839,1712,9.014240264892578,TF_2839,Enzyme_1712,No
29,2746,1768,8.875609397888184,TF_2746,Enzyme_1768,No
30,1509,1712,8.765558242797852,TF_1509,Enzyme_1712,No
31,1212,898,8.7430419921875,TF_1212,Enzyme_898,No
32,1212,1832,8.708101272583008,TF_1212,Enzyme_1832,No
33,1212,781,8.289782524108887,TF_1212,Enzyme_781,No
34,1212,2879,8.259088516235352,TF_1212,Enzyme_2879,No
35,601,796,8.189014434814453,TF_601,Enzyme_796,No
36,1212,3128,8.186279296875,TF_1212,Enzyme_3128,No
37,1801,2445,8.123452186584473,TF_1801,Enzyme_2445,No
38,1200,2445,8.123451232910156,TF_1200,Enzyme_2445,No
39,139,2428,7.825150489807129,TF_139,Enzyme_2428,No
40,1212,1770,7.761163234710693,TF_1212,Enzyme_1770,No
41,1212,1160,7.601422309875488,TF_1212,Enzyme_1160,No
42,1801,824,7.5399980545043945,TF_1801,Enzyme_824,No
43,1200,824,7.539997100830078,TF_1200,Enzyme_824,No
44,1200,2839,7.52767276763916,TF_1200,Enzyme_2839,No
45,1801,2839,7.52767276763916,TF_1801,Enzyme_2839,No
46,1212,918,7.392090797424316,TF_1212,Enzyme_918,No
47,2746,2428,7.297005653381348,TF_2746,Enzyme_2428,No
48,1212,2589,7.249890327453613,TF_1212,Enzyme_2589,No
49,1212,1262,7.235940456390381,TF_1212,Enzyme_1262,No
50,601,2445,7.221452236175537,TF_601,Enzyme_2445,No
