metabolite_kegg,uniprot_id,score
C00007,C6TIM5,0.8720986843109131
C00015,I1JK97,0.8016729354858398
C00016,C6TIM5,0.8106710910797119
C00017,I1JK97,0.7536048889160156
C00018,K7MJI4,0.485607773065567
C00019,C6TIM5,0.8165764808654785
C00021,C6TIM5,0.7472134232521057
C00022,I1MFV2,0.6041319966316223
C00024,C6TIM5,0.7623665928840637
C00025,C6TIM5,0.8560987114906311
C00026,C6TIM5,0.9090768098831177
C00028,A0A0R4J4B4,0.9500028491020203
C00029,I1K772,0.5605090260505676
C00030,C6TIM5,0.9356961846351624
C00031,I1JK97,0.7697950005531311
C00033,C6TIM5,0.8975567817687988
C00035,I1JK97,0.833175539970398
C00036,C6TIM5,0.925554633140564
C00037,A0A0R4J4B4,0.9404505491256714
C00039,C6TIM5,0.8447273373603821
C00040,C6TIM5,0.6882758140563965
C00041,C6TIM5,0.7755778431892395
C00042,C6TIM5,0.8307819366455078
C00043,I1JK97,0.8072632551193237
C00046,C6TIM5,0.7670499086380005
C00047,C6TIM5,0.8949716687202454
C00048,C6TIM5,0.9225062131881714
C00049,A0A0R4J4B4,0.9326635003089905
C00051,C6TIM5,0.9572895765304565
C00052,I1JK97,0.8281519412994385
C00053,I1JK97,0.7629079818725586
C00054,C6TIM5,0.7731099724769592
C00055,I1JK97,0.6670202016830444
C00058,A0A0R4J4B4,0.8793531656265259
C00059,C6TIM5,0.7987828254699707
C00060,C6TIM5,0.8721926212310791
C00061,I1JK97,0.8393071293830872
C00062,A0A0R4J4B4,0.9827766418457031
C00063,I1JK97,0.8447133898735046
C00064,C6TIM5,0.9257185459136963
C00065,C6TIM5,0.7761200070381165
C00067,C6TIM5,0.8833667635917664
C00068,C6TIM5,0.6603027582168579
C00069,C6TIM5,0.8350555896759033
C00071,C6TIM5,0.8018781542778015
C00072,C6TIM5,0.8796377182006836
C00073,A0A0R4J4B4,0.9003452658653259
C00074,I1JK97,0.8384484648704529
C00075,I1JK97,0.8016014695167542
C00077,C6TIM5,0.720227837562561
C00078,A0A0R4J4B4,0.9395532608032227
C00079,A0A0R4J4B4,0.938004195690155
C00081,I1JK97,0.5560258030891418
C00082,C6TIM5,0.967885434627533
C00083,C6TIM5,0.7330437302589417
C00084,C6TIM5,0.8765965104103088
C00085,I1JK97,0.6700200438499451
C00088,A0A0R4J4B4,0.9962288737297058
C00089,A0A0R0HBG9,0.5086588263511658
C00091,C6TIM5,0.7094045281410217
C00092,I1JK97,0.8038631677627563
C00093,I1K772,0.5696576237678528
C00094,C6TIM5,0.9324400424957275
C00095,I1JK97,0.61701500415802
C00096,I1MP44,0.5425031781196594
C00097,A0A0R4J4B4,0.9417266249656677
C00099,C6TIM5,0.9683095812797546
C00100,C6TIM5,0.6822081208229065
C00101,A0A0R4J4B4,0.915179431438446
C00103,I1MP44,0.52528315782547
C00104,I1MFV2,0.5882289409637451
C00105,I1JK97,0.6860825419425964
C00106,C6TIM5,0.9392361044883728
C00109,C6TIM5,0.9130691289901733
C00110,I1JK97,0.7836217284202576
C00111,C6TIM5,0.9058784246444702
C00112,I1JK97,0.83624267578125
C00114,I1JK97,0.6354316473007202
C00116,I1K772,0.5278655886650085
