seed	split	hits@1	hits@3	hits@10	hits@20	hits@50	mrr
42	train	0.1846	0.2483	0.3121	0.3490	0.4866	0.2355
42	val	0.0347	0.0799	0.3854	0.6389	0.8681	0.1246
42	test	0.0667	0.1298	0.2842	0.4877	0.8667	0.1528
123	train	0.0067	0.0067	0.0101	0.0168	0.1577	0.0196
123	val	0.1004	0.1147	0.2079	0.3978	0.7491	0.1504
123	test	0.0071	0.1060	0.1979	0.4417	0.7562	0.0976
456	train	0.0100	0.0100	0.0233	0.0698	0.2392	0.0260
456	val	0.0536	0.1821	0.4786	0.6214	0.8643	0.1667
456	test	0.1203	0.3265	0.4364	0.6323	0.8729	0.2404
789	train	0.0299	0.0299	0.0498	0.1262	0.3455	0.0512
789	val	0.1004	0.1254	0.4337	0.5556	0.7885	0.1749
789	test	0.1458	0.2257	0.4861	0.6632	0.8542	0.2366
1024	train	0.0567	0.1333	0.1633	0.2333	0.2567	0.1059
1024	val	0.1021	0.1585	0.1620	0.2289	0.5493	0.1395
1024	test	0.1036	0.1607	0.2679	0.6321	0.7750	0.1860
