seed	split	hits@1	hits@3	hits@10	hits@20	hits@50	mrr
42	train	0.2483	0.2483	0.3221	0.3993	0.5134	0.2721
42	val	0.0590	0.1632	0.3958	0.7049	0.8646	0.1678
42	test	0.0316	0.0982	0.3860	0.5789	0.9368	0.1357
123	train	0.0067	0.0101	0.0671	0.0872	0.2483	0.0279
123	val	0.0179	0.0430	0.1792	0.3513	0.7061	0.0754
123	test	0.0742	0.1731	0.2898	0.4558	0.8516	0.1664
456	train	0.0266	0.0532	0.2558	0.3023	0.4385	0.0967
456	val	0.1571	0.2536	0.4964	0.6321	0.8071	0.2624
456	test	0.1306	0.1924	0.3711	0.4914	0.8488	0.2023
789	train	0.1595	0.2326	0.3023	0.3555	0.5249	0.2197
789	val	0.0609	0.1649	0.3978	0.6308	0.9247	0.1752
789	test	0.0347	0.0729	0.3646	0.5625	0.8056	0.1139
1024	train	0.0900	0.1567	0.2667	0.3833	0.6400	0.1569
1024	val	0.0176	0.1127	0.3275	0.4824	0.7394	0.1165
1024	test	0.0500	0.1250	0.3857	0.5821	0.8536	0.1498
