seed	split	hits@1	hits@3	hits@10	hits@20	hits@50	mrr
42	train	0.0235	0.0872	0.2718	0.3423	0.4060	0.0897
42	val	0.0278	0.0625	0.2778	0.5660	0.8646	0.1039
42	test	0.0702	0.1333	0.2982	0.5544	0.8386	0.1546
123	train	0.0201	0.0268	0.0470	0.1141	0.1879	0.0417
123	val	0.0358	0.0968	0.2760	0.4480	0.8781	0.1193
123	test	0.0636	0.1484	0.2862	0.4523	0.8410	0.1536
456	train	0.1163	0.1296	0.1362	0.2492	0.3023	0.1387
456	val	0.0929	0.1393	0.3786	0.4929	0.8643	0.1690
456	test	0.0241	0.0481	0.1409	0.3299	0.7595	0.0789
789	train	0.2159	0.2990	0.4618	0.5316	0.6844	0.2909
789	val	0.0932	0.1434	0.3943	0.7419	0.9211	0.1884
789	test	0.0694	0.1597	0.5625	0.7153	0.8958	0.2017
1024	train	0.0267	0.0400	0.0733	0.0833	0.3433	0.0526
1024	val	0.0070	0.0106	0.1197	0.2852	0.7077	0.0549
1024	test	0.0286	0.0357	0.2571	0.5964	0.8429	0.1021
