seed	eval_type	hits@1	hits@3	hits@10	hits@20	hits@50	mrr	count	ablation
42	test_full	0.1688	0.2646	0.5000	0.7042	0.8917	0.2669	480	full
42	test_exp	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1	full
42	val_full	0.1420	0.2526	0.5010	0.6848	0.8852	0.2459	479	full
42	val_exp	0.5000	1.0000	1.0000	1.0000	1.0000	0.7500	2	full
123	test_full	0.2021	0.2750	0.4813	0.6417	0.8229	0.2891	480	full
123	test_exp	0.0000	0.3333	1.0000	1.0000	1.0000	0.3167	3	full
123	val_full	0.1775	0.2505	0.4781	0.6305	0.8351	0.2667	479	full
123	val_exp	0.2500	0.7500	1.0000	1.0000	1.0000	0.5625	4	full
456	test_full	0.1771	0.2375	0.4500	0.6354	0.8438	0.2623	480	full
456	test_exp	0.5000	0.5000	1.0000	1.0000	1.0000	0.6250	2	full
456	val_full	0.1733	0.2338	0.4447	0.6075	0.8518	0.2592	479	full
456	val_exp	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	full
