,"Monolinolenin (9c,12c,15c)",6''-O-Acetyldaidzin,Methyl N-methylanthranilate,Formononetin,6''-Malonylastragalin,(E)-3-Hexadecenoic acid,Thr-Cys(Trioxidation),6''-O-Acetylgenistin,beta-D-Glucuronopyranosyl-(1->3)-alpha-D-galacturonopyranosyl-(1->2)-L-rhamnose,6''-Malonylgenistin,6''-O-Malonyldaidzin,Daidzein,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",Linolenelaidic acid,"4E,15Z-Bilirubin IXa",L-Tryptophan,6''-Malonylgenistin,"Dilinolenin (9c,12c,15c)","2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one",Licoagroside B,L-Arginine,"9,12-Octadecadiynoic Acid","DG(14:0/20:3(8Z,11Z,14Z)/0:0)","1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",alpha-Rhamnorobin
"Monolinolenin (9c,12c,15c)",1.0,0.8679451339014649,0.8507892847879819,0.663832826119012,0.09372391306458538,0.2915511544812295,0.4831747490674266,0.5202712873899633,0.6215733289487483,0.47603111058756453,0.15751669318269407,0.7357130734245969,0.4420621809845147,0.47511801368702233,0.34248061289359416,0.25119007007359756,0.20368305589773517,0.5371426569779867,0.6045459672847763,0.6420969681586711,0.6550073043710622,0.30409351022350606,0.40615407482360577,0.6579412334756669,0.31250252364460024
6''-O-Acetyldaidzin,0.8679451339014649,1.0,0.6446836308873631,0.6818424577739941,0.34143041199188906,0.7127798089119657,0.20504300717713198,0.37799466554387273,0.516512751124191,0.9693212939135025,0.5967475383591931,0.5514544740700729,0.31451337278726593,0.6192935395117788,0.6483211674639617,0.4834567729071167,0.6988649083954184,0.2379595112442977,0.7338623259072936,0.1662882731677079,0.5993093253490511,0.36326528921353807,0.6861247607481755,0.3468918801361588,0.23172239727874283
Methyl N-methylanthranilate,0.8507892847879819,0.6446836308873631,1.0,0.4844360010808696,0.4561279799437059,0.8913024091397301,0.1166936870715713,0.2913591043598413,0.10342800150257592,0.3592140277150124,0.6199069806031694,0.46065648127583053,0.6846863153810179,0.48423703646397076,0.4698140706531629,0.28298400944703717,0.3230882987113099,0.8449505817561698,0.24938632646337355,0.770370610500919,0.5408861927914925,0.23606137673243932,0.27871447794904397,0.8710245268081642,0.44193391406218197
Formononetin,0.663832826119012,0.6818424577739941,0.4844360010808696,1.0,0.31221987534491624,0.4350277782033921,0.5563754435525605,0.6338140067946918,0.48105626940655144,0.6015144384463877,0.32105266359151236,0.7157865277978837,0.6374936864267098,0.6534064025020583,0.3175746761216895,0.46703136426361874,0.7698511266653683,0.555850030584488,0.7338157913321162,0.87013485778683,0.6537953080356698,0.2895541630164606,0.49423949494696795,0.2587677099118167,0.09829698037518003
6''-Malonylastragalin,0.09372391306458538,0.34143041199188906,0.4561279799437059,0.31221987534491624,1.0,0.38001976586322034,0.6980166885731152,0.44653604134452096,0.4176136125756062,0.35405926791302794,0.22962209979993026,0.47850697834505274,0.8278944930326173,0.5279256845327872,0.35198625195542665,0.5766576824805588,0.5618608389648632,0.15181853765682085,0.5018782403980646,0.5312200430428997,0.7460856638589709,0.8804068380892732,0.5973285388151044,0.18414815641331755,0.17428551682127125
(E)-3-Hexadecenoic acid,0.2915511544812295,0.7127798089119657,0.8913024091397301,0.4350277782033921,0.38001976586322034,1.0,0.23208154099111533,0.23046585919197066,0.1734061115101288,0.8688605037270838,0.4400020972395527,0.7043979817804662,0.8394355191788563,0.3598011405152778,0.8071006804636381,0.5403060612818837,0.5736527621607823,0.32012009397261065,0.3967517070538144,0.4571195662563651,0.09975194334971205,0.7112326715549873,0.45308094472062926,0.25530725374412533,0.3697126161346686
Thr-Cys(Trioxidation),0.4831747490674266,0.20504300717713198,0.1166936870715713,0.5563754435525605,0.6980166885731152,0.23208154099111533,1.0,0.4375465682846533,0.1695545434292159,0.6154267208585258,0.651968953440017,0.48515049372255764,0.574915029531045,0.6468103972695638,0.05840054029801506,0.7660198304766943,0.3549908718529495,0.47401457105866324,0.026064393161091493,0.6433208160864294,0.7942457731680624,0.5081527511069934,0.32305414337496086,0.6032641752417075,0.4257532544076212
6''-O-Acetylgenistin,0.5202712873899633,0.37799466554387273,0.2913591043598413,0.6338140067946918,0.44653604134452096,0.23046585919197066,0.4375465682846533,1.0,0.7704205612445184,0.41742275617075736,0.6780069213545761,0.5964025764205799,0.43907864227035415,0.2720220334928812,0.4138139360869575,0.3610228072928916,0.45402670471681256,0.7593180602397958,0.5508810496336971,0.39678542790823695,0.5858734087679149,0.8612962579720724,0.46294646813295803,0.6898522591289935,0.5720727034528497
beta-D-Glucuronopyranosyl-(1->3)-alpha-D-galacturonopyranosyl-(1->2)-L-rhamnose,0.6215733289487483,0.516512751124191,0.10342800150257592,0.48105626940655144,0.4176136125756062,0.1734061115101288,0.1695545434292159,0.7704205612445184,1.0,0.3266628726181813,0.5593974797279755,0.3929385687667811,0.7235737271356522,0.170170974983738,0.8262047313862467,0.5573605505119266,0.6153908372892657,0.4238070406204072,0.352968087364526,0.7383907452891207,0.8037064027961337,0.5618701544690495,0.42440601175085574,0.34823370667347087,0.38430981926829116
6''-Malonylgenistin,0.47603111058756453,0.9693212939135025,0.3592140277150124,0.6015144384463877,0.35405926791302794,0.8688605037270838,0.6154267208585258,0.41742275617075736,0.3266628726181813,1.0,0.40981430451613693,0.4295262517185149,0.14757410884676403,0.3457374689644603,0.37629242864146395,0.8377648140784,0.5226076268943605,0.499485598167723,0.24448830826175816,0.29988546422598383,0.8270190354880427,0.5985857817489124,0.7934821851985672,0.7985104157029893,0.7717021420483627
