step,reaction,enzyme_class,rank,uniprot,name,gnn_score,combined_score,log2fc,pvalue,significant
1,Phenylalanine → Cinnamic acid,PAL,1,P27991,PAL1,0.4941,0.4941,,,False
1,Phenylalanine → Cinnamic acid,PAL,2,I1JCY3,I1JCY3_SOYBN,0.4913,0.4913,,,False
1,Phenylalanine → Cinnamic acid,PAL,3,I1NC37,I1NC37_SOYBN,0.4901,0.4901,0.0,1.0,False
2,Cinnamic acid → p-Coumaric acid,C4H,,,No C4H candidates found,,,,,
3,p-Coumaric acid → p-Coumaroyl-CoA,4CL,1,Q8S5C1,4CL2,0.491,0.491,,,False
3,p-Coumaric acid → p-Coumaroyl-CoA,4CL,2,H2BER4,4CL,0.4906,0.4906,-1.4065,0.109472,False
3,p-Coumaric acid → p-Coumaroyl-CoA,4CL,3,I1MSS3,4CL1,0.4899,0.4899,,,False
4,p-Coumaroyl-CoA + 3 Malonyl-CoA → Naringenin chalcone,CHS,1,K7LFJ0,PROPEP890,0.4948,0.4948,,,False
4,p-Coumaroyl-CoA + 3 Malonyl-CoA → Naringenin chalcone,CHS,2,P30081,CHS7,0.49,0.49,,,False
4,p-Coumaroyl-CoA + 3 Malonyl-CoA → Naringenin chalcone,CHS,3,P19168,CHS3,0.49,0.49,,,False
5,Naringenin chalcone → Naringenin / Liquiritigenin,CHI,1,I1LFF1,CHI1B2-2,0.4881,1.5034,5.0765,0.047066,True
5,Naringenin chalcone → Naringenin / Liquiritigenin,CHI,2,Q9SDY6,Chia1,0.4896,1.2352,3.7275,0.006483,True
5,Naringenin chalcone → Naringenin / Liquiritigenin,CHI,3,A0A0R0H0T7,A0A0R0H0T7,0.4904,0.7681,-1.3886,0.032014,True
6,Naringenin/Liquiritigenin → Genistein/Daidzein,IFS,1,Q9M6D6,ifs1,0.4882,1.1329,3.2231,0.005753,True
6,Naringenin/Liquiritigenin → Genistein/Daidzein,IFS,2,A0A0R0IFS4,A0A0R0IFS4,0.4899,0.4899,,,False
6,Naringenin/Liquiritigenin → Genistein/Daidzein,IFS,3,A0A0R0IFS8,A0A0R0IFS8,0.4899,0.4899,,,False
7,2-Hydroxyisoflavanone → Isoflavone (dehydration),HID,1,A0A0R0HID4,A0A0R0HID4,0.4899,0.4899,,,False
7,2-Hydroxyisoflavanone → Isoflavone (dehydration),HID,2,A0A0R0HID8,A0A0R0HID8,0.4899,0.4899,,,False
7,2-Hydroxyisoflavanone → Isoflavone (dehydration),HID,3,A0A0R0HID0,A0A0R0HID0,0.4899,0.4899,,,False
