uniprot_id,string_id,log2fc,p_value,contribution_score,enzyme_name,enzyme_full_name,ec_number,gene_names,protein_names,centrality,normalized_contribution,pathway_id
A0A0R0KSM2,3847.A0A0R0KSM2,1.7901614189395074,0.0258469247087667,2.8420443761192455,CAD,Cinnamyl alcohol dehydrogenase,1.1.1.195,,,1.0,1.0,gmx00940
I1MNR6,3847.I1MNR6,-0.6096618742272412,0.2467435511259176,0.370524558059278,CCR,Cinnamoyl-CoA reductase,1.2.1.44,,,1.0,0.13037254490910583,gmx00940
A0A0R4J4D2,3847.A0A0R4J4D2,-0.1952178139063523,0.4609157574132893,0.06566706454437844,HCT,Hydroxycinnamoyl-CoA transferase,2.3.1.133,,,1.0,0.023105573261331513,gmx00940
C6SVC4,3847.C6SVC4,-0.1008456864780192,0.5380825320528215,0.027142728087880593,COMT,Caffeic acid O-methyltransferase,2.1.1.68,,,1.0,0.009550423742835235,gmx00940
I1MG66,3847.I1MG66,0.2602862232292777,0.831445492296142,0.020866161823462175,CCoAOMT,Caffeoyl-CoA O-methyltransferase,2.1.1.104,,,1.0,0.007341954966922261,gmx00940
C6TNS8,3847.C6TNS8,7.195791773409317,0.0032862536496192,17.8693019291644,F3H,Flavanone 3-hydroxylase,1.14.11.9,,,1.0,1.0,gmx00941
I1KM16,3847.I1KM16,1.343576767108618,0.004983118890567,3.0935838281651207,DFR,Dihydroflavonol 4-reductase,1.1.1.219,,,1.0,0.17312281366269253,gmx00941
I1MNR6,3847.I1MNR6,-0.6096618742272412,0.2467435511259176,0.370524558059278,CCR,Cinnamoyl-CoA reductase,1.2.1.44,,,1.0,0.020735256448633096,gmx00941
C6SVC4,3847.C6SVC4,-0.1008456864780192,0.5380825320528215,0.027142728087880593,COMT,Caffeic acid O-methyltransferase,2.1.1.68,,,1.0,0.0015189585018752791,gmx00941
I1M622,3847.I1M622,6.385814585796148,0.0373160733188871,9.11960775100944,IFS2,Isoflavone synthase 2,1.14.14.87,,,1.0,1.0,gmx00943
Q9M6D6,3847.Q9M6D6,3.223130176252291,0.0057534402376181,7.2200449290243895,IFS,Isoflavone synthase,1.14.14.87,,,1.0,0.7917056441627339,gmx00943
A7BIC9,3847.A7BIC9,1.944862990914992,0.0014009289406406,5.549829704747443,CYP81E,Cytochrome P450 81E subfamily,1.14.-.-,,,1.0,0.6085601328777698,gmx00943
I1JNN8,3847.I1JNN8,8.45030851584821,0.2471942466734107,5.129013127620178,UGT,UDP-glycosyltransferase,2.4.1.-,,,1.0,0.5624159796842636,gmx00943
C6TDP1,3847.C6TDP1,6.799917351308539,0.1835529740167086,5.006361457088084,OMT,O-methyltransferase,2.1.1.-,,,1.0,0.5489667531516292,gmx00943
