Pathway_ID,Sig_Count,Bg_Count,P_Value,Fold_Enrichment,Odds_Ratio,Pathway_Name,FDR,Bonferroni
Super-Pathways,4,5,0.4047619047619048,1.6,4.0,Super-Pathways,0.7061923583662714,1.0
SECONDARY-METABOLITE-BIOSYNTHESIS,2,2,0.4166666666666667,inf,inf,SECONDARY-METABOLITE-BIOSYNTHESIS,0.7061923583662714,1.0
Stickland-Reductive,2,2,0.4166666666666667,inf,inf,Stickland-Reductive,0.7061923583662714,1.0
Antibiotic-Biosynthesis,2,2,0.4166666666666667,inf,inf,Antibiotic-Biosynthesis,0.7061923583662714,1.0
PWY-7770,2,2,0.4166666666666667,inf,inf,PWY-7770,0.7061923583662714,1.0
ALKALOIDS-SYN,2,2,0.4166666666666667,inf,inf,ALKALOIDS-SYN,0.7061923583662714,1.0
Toxin-Biosynthesis,2,2,0.4166666666666667,inf,inf,Toxin-Biosynthesis,0.7061923583662714,1.0
Herbicide-Biosynthesis,2,2,0.4166666666666667,inf,inf,Herbicide-Biosynthesis,0.7061923583662714,1.0
TRNA-CHARGING-PWY,2,2,0.4166666666666667,inf,inf,TRNA-CHARGING-PWY,0.7061923583662714,1.0
Aminoacyl-tRNAs-Charging,2,2,0.4166666666666667,inf,inf,Aminoacyl-tRNAs-Charging,0.7061923583662714,1.0
PWY-8531,2,2,0.4166666666666667,inf,inf,PWY-8531,0.7061923583662714,1.0
PWY-2321,2,2,0.4166666666666667,inf,inf,PWY-2321,0.7061923583662714,1.0
PWY-2229,2,2,0.4166666666666667,inf,inf,PWY-2229,0.7061923583662714,1.0
PWY-2464,2,2,0.4166666666666667,inf,inf,PWY-2464,0.7061923583662714,1.0
PWY-2463,2,2,0.4166666666666667,inf,inf,PWY-2463,0.7061923583662714,1.0
PWY-5877,1,1,0.6666666666666666,inf,inf,PWY-5877,0.7061923583662714,1.0
PWY-5473,1,1,0.6666666666666666,inf,inf,PWY-5473,0.7061923583662714,1.0
N-CONTAINING-SECONDARY-CMPD-SYN,1,1,0.6666666666666666,inf,inf,N-CONTAINING-SECONDARY-CMPD-SYN,0.7061923583662714,1.0
PWY-3181,1,1,0.6666666666666666,inf,inf,PWY-3181,0.7061923583662714,1.0
PWY-3162,1,1,0.6666666666666666,inf,inf,PWY-3162,0.7061923583662714,1.0
PWYDQC-4,1,1,0.6666666666666666,inf,inf,PWYDQC-4,0.7061923583662714,1.0
CAMALEXIN-SYN,1,1,0.6666666666666666,inf,inf,CAMALEXIN-SYN,0.7061923583662714,1.0
INDOLE-PHYTOALEXIN-SYN,1,1,0.6666666666666666,inf,inf,INDOLE-PHYTOALEXIN-SYN,0.7061923583662714,1.0
PWY-8024,1,1,0.6666666666666666,inf,inf,PWY-8024,0.7061923583662714,1.0
PWY-7532,1,1,0.6666666666666666,inf,inf,PWY-7532,0.7061923583662714,1.0
INDOLE-ALKALOIDS,1,1,0.6666666666666666,inf,inf,INDOLE-ALKALOIDS,0.7061923583662714,1.0
PWY-5290,1,1,0.6666666666666666,inf,inf,PWY-5290,0.7061923583662714,1.0
TERPENOID-ALKALOIDS,1,1,0.6666666666666666,inf,inf,TERPENOID-ALKALOIDS,0.7061923583662714,1.0
PWY-8475,1,1,0.6666666666666666,inf,inf,PWY-8475,0.7061923583662714,1.0
PWY-7936,1,1,0.6666666666666666,inf,inf,PWY-7936,0.7061923583662714,1.0
PWY-6307,1,1,0.6666666666666666,inf,inf,PWY-6307,0.7061923583662714,1.0
PWY-7733,1,1,0.6666666666666666,inf,inf,PWY-7733,0.7061923583662714,1.0
TRYPTOPHAN-DEG,1,1,0.6666666666666666,inf,inf,TRYPTOPHAN-DEG,0.7061923583662714,1.0
PWY-8017,1,1,0.6666666666666666,inf,inf,PWY-8017,0.7061923583662714,1.0
PWY-8586,1,1,0.6666666666666666,inf,inf,PWY-8586,0.7061923583662714,1.0
PWY2SK3-2,1,1,0.6666666666666666,inf,inf,PWY2SK3-2,0.7061923583662714,1.0
Pigment-Biosynthesis,1,1,0.6666666666666666,inf,inf,Pigment-Biosynthesis,0.7061923583662714,1.0
PWY-7555,1,1,0.6666666666666666,inf,inf,PWY-7555,0.7061923583662714,1.0
PWY-6030,1,1,0.6666666666666666,inf,inf,PWY-6030,0.7061923583662714,1.0
Neurotransmitter-Biosynthesis,1,1,0.6666666666666666,inf,inf,Neurotransmitter-Biosynthesis,0.7061923583662714,1.0
PWY-7765,1,1,0.6666666666666666,inf,inf,PWY-7765,0.7061923583662714,1.0
3-OH-4-Methyl-Anthranilate-Biosynthesis,1,1,0.6666666666666666,inf,inf,3-OH-4-Methyl-Anthranilate-Biosynthesis,0.7061923583662714,1.0
PWY-5651,1,1,0.6666666666666666,inf,inf,PWY-5651,0.7061923583662714,1.0
NADSYN-PWY,1,1,0.6666666666666666,inf,inf,NADSYN-PWY,0.7061923583662714,1.0
NAD-SYN,1,1,0.6666666666666666,inf,inf,NAD-SYN,0.7061923583662714,1.0
PWY-5653,1,1,0.6666666666666666,inf,inf,PWY-5653,0.7061923583662714,1.0
PWY-5655,1,1,0.6666666666666666,inf,inf,PWY-5655,0.7061923583662714,1.0
ARGASEDEG-PWY,1,1,0.6666666666666666,inf,inf,ARGASEDEG-PWY,0.7061923583662714,1.0
IND-AMINO-ACID-SYN,1,1,0.6666666666666666,inf,inf,IND-AMINO-ACID-SYN,0.7061923583662714,1.0
PWY-8395,1,1,0.6666666666666666,inf,inf,PWY-8395,0.7061923583662714,1.0
PWY-6630,1,1,0.6666666666666666,inf,inf,PWY-6630,0.7061923583662714,1.0
ALL-CHORISMATE-PWY,1,1,0.6666666666666666,inf,inf,ALL-CHORISMATE-PWY,0.7061923583662714,1.0
PWY-6612,1,1,0.6666666666666666,inf,inf,PWY-6612,0.7061923583662714,1.0
MENAQUINONESYN-PWY,1,1,0.6666666666666666,inf,inf,MENAQUINONESYN-PWY,0.7061923583662714,1.0
PWY-5852,1,1,0.6666666666666666,inf,inf,PWY-5852,0.7061923583662714,1.0
PWY-5004,1,1,0.6666666666666666,inf,inf,PWY-5004,0.7061923583662714,1.0
PWY-7052,1,1,0.6666666666666666,inf,inf,PWY-7052,0.7061923583662714,1.0
PWY-5742,1,1,0.6666666666666666,inf,inf,PWY-5742,0.7061923583662714,1.0
PWY-5940,1,1,0.6666666666666666,inf,inf,PWY-5940,0.7061923583662714,1.0
TRPSYN-PWY,1,1,0.6666666666666666,inf,inf,TRPSYN-PWY,0.7061923583662714,1.0
TRYPTOPHAN-BIOSYNTHESIS,1,1,0.6666666666666666,inf,inf,TRYPTOPHAN-BIOSYNTHESIS,0.7061923583662714,1.0
PWY-6629,1,1,0.6666666666666666,inf,inf,PWY-6629,0.7061923583662714,1.0
ARO-PWY,1,1,0.6666666666666666,inf,inf,ARO-PWY,0.7061923583662714,1.0
PWY-5162,1,1,0.6666666666666666,inf,inf,PWY-5162,0.7061923583662714,1.0
GLUTAMATE-SYN,1,1,0.6666666666666666,inf,inf,GLUTAMATE-SYN,0.7061923583662714,1.0
ARG-GLU-PWY,1,1,0.6666666666666666,inf,inf,ARG-GLU-PWY,0.7061923583662714,1.0
ARG-PRO-PWY,1,1,0.6666666666666666,inf,inf,ARG-PRO-PWY,0.7061923583662714,1.0
PWY-4984,1,1,0.6666666666666666,inf,inf,PWY-4984,0.7061923583662714,1.0
NITROGEN-DEG,1,1,0.6666666666666666,inf,inf,NITROGEN-DEG,0.7061923583662714,1.0
PWY-6845,1,1,0.6666666666666666,inf,inf,PWY-6845,0.7061923583662714,1.0
PWY-4983,1,1,0.6666666666666666,inf,inf,PWY-4983,0.7061923583662714,1.0
PWY-581,1,1,0.6666666666666666,inf,inf,PWY-581,0.7061923583662714,1.0
PWY-601,1,1,0.6666666666666666,inf,inf,PWY-601,0.7061923583662714,1.0
GLUCOSINOLATE-SYN,1,1,0.6666666666666666,inf,inf,GLUCOSINOLATE-SYN,0.7061923583662714,1.0
PWY-7525,1,1,0.6666666666666666,inf,inf,PWY-7525,0.7061923583662714,1.0
PWY-7537,1,1,0.6666666666666666,inf,inf,PWY-7537,0.7061923583662714,1.0
