Pathway,Sig_Count,Bg_Count,P_Value,Enrichment_Score
map01110,5,5,0.030075187969924814,0.4166666666666667
map01061,2,2,0.2857142857142857,0.16666666666666666
map00970,2,2,0.2857142857142857,0.16666666666666666
map01060,2,2,0.2857142857142857,0.16666666666666666
map04974,2,2,0.2857142857142857,0.16666666666666666
map05230,2,2,0.2857142857142857,0.16666666666666666
map01230,2,2,0.2857142857142857,0.16666666666666666
map00996,2,2,0.2857142857142857,0.16666666666666666
map01063,2,2,0.2857142857142857,0.16666666666666666
map01100,3,4,0.3684210526315789,0.25
map00470,1,1,0.5454545454545454,0.08333333333333333
map00331,1,1,0.5454545454545454,0.08333333333333333
map01064,1,1,0.5454545454545454,0.08333333333333333
map00261,1,1,0.5454545454545454,0.08333333333333333
map00998,1,1,0.5454545454545454,0.08333333333333333
map00330,1,1,0.5454545454545454,0.08333333333333333
map05142,1,1,0.5454545454545454,0.08333333333333333
map05146,1,1,0.5454545454545454,0.08333333333333333
map00260,1,1,0.5454545454545454,0.08333333333333333
map04148,1,1,0.5454545454545454,0.08333333333333333
map04150,1,1,0.5454545454545454,0.08333333333333333
map05014,1,1,0.5454545454545454,0.08333333333333333
map05022,1,1,0.5454545454545454,0.08333333333333333
map02010,1,1,0.5454545454545454,0.08333333333333333
map00400,1,1,0.5454545454545454,0.08333333333333333
map00404,1,1,0.5454545454545454,0.08333333333333333
map00901,1,1,0.5454545454545454,0.08333333333333333
map00380,1,1,0.5454545454545454,0.08333333333333333
map00966,1,1,0.5454545454545454,0.08333333333333333
map00997,1,1,0.5454545454545454,0.08333333333333333
map00220,1,1,0.5454545454545454,0.08333333333333333
map00591,1,1,0.5454545454545454,0.08333333333333333
map04726,1,1,0.5454545454545454,0.08333333333333333
map04978,1,1,0.5454545454545454,0.08333333333333333
map05143,1,1,0.5454545454545454,0.08333333333333333
map00999,1,1,0.5454545454545454,0.08333333333333333
map01070,1,1,0.5454545454545454,0.08333333333333333
map01210,1,1,0.5454545454545454,0.08333333333333333
map01240,1,1,0.5454545454545454,0.08333333333333333
map04361,1,1,0.5454545454545454,0.08333333333333333
map00960,1,1,0.5454545454545454,0.08333333333333333
map00943,2,3,0.5714285714285716,0.16666666666666666
map00770,0,1,1.0,0.0
map00946,0,1,1.0,0.0
