tf_idx,string_id,uniprot_id,name
0,3847.A0A0B5E2H5,A0A0B5E2H5,DHAR2
1,3847.A0A0B5E2M0,A0A0B5E2M0,GSTU49
2,3847.A0A0B5E8V1,A0A0B5E8V1,GSTU18
3,3847.A0A0B5EA67,A0A0B5EA67,GSTU34
4,3847.A0A0B5EC24,A0A0B5EC24,GSTU15
5,3847.A0A0B5EC52,A0A0B5EC52,GSTZ1
6,3847.A0A0K2CSW0,A0A0K2CSW0,A0A0K2CSW0
7,3847.A0A0K2CT67,A0A0K2CT67,A0A0K2CT67
8,3847.A0A0K2CT73,A0A0K2CT73,NAC21
9,3847.A0A0K2CT95,A0A0K2CT95,A0A0K2CT95
10,3847.A0A0K2CTA8,A0A0K2CTA8,A0A0K2CTA8
11,3847.A0A0K2CTB0,A0A0K2CTB0,A0A0K2CTB0
12,3847.A0A0K2CTB2,A0A0K2CTB2,PHANa
13,3847.A0A0K2CTB3,A0A0K2CTB3,A0A0K2CTB3
14,3847.A0A0K2CTB7,A0A0K2CTB7,A0A0K2CTB7
15,3847.A0A0K2CTE4,A0A0K2CTE4,A0A0K2CTE4
16,3847.A0A0K2CTE5,A0A0K2CTE5,A0A0K2CTE5
17,3847.A0A0K2CTG7,A0A0K2CTG7,DREB3
18,3847.A0A0K2CTP6,A0A0K2CTP6,NAC4
19,3847.A0A0K2CTV0,A0A0K2CTV0,A0A0K2CTV0
20,3847.A0A0R0E5G3,A0A0R0E5G3,A0A0R0E5G3
21,3847.A0A0R0E615,A0A0R0E615,A0A0R0E615
22,3847.A0A0R0E8T4,A0A0R0E8T4,A0A0R0E8T4
23,3847.A0A0R0E902,A0A0R0E902,A0A0R0E902
24,3847.A0A0R0E9B1,A0A0R0E9B1,A0A0R0E9B1
25,3847.A0A0R0E9F6,A0A0R0E9F6,A0A0R0E9F6
26,3847.A0A0R0EAF3,A0A0R0EAF3,A0A0R0EAF3
27,3847.A0A0R0EC78,A0A0R0EC78,A0A0R0EC78
28,3847.A0A0R0EC79,A0A0R0EC79,A0A0R0EC79
29,3847.A0A0R0EDG0,A0A0R0EDG0,A0A0R0EDG0
30,3847.A0A0R0EG63,A0A0R0EG63,A0A0R0EG63
31,3847.A0A0R0EHK8,A0A0R0EHK8,A0A0R0EHK8
32,3847.A0A0R0EIE0,A0A0R0EIE0,A0A0R0EIE0
33,3847.A0A0R0EII9,A0A0R0EII9,A0A0R0EII9
34,3847.A0A0R0EIJ3,A0A0R0EIJ3,A0A0R0EIJ3
35,3847.A0A0R0EJ67,A0A0R0EJ67,A0A0R0EJ67
36,3847.A0A0R0EJA6,A0A0R0EJA6,A0A0R0EJA6
