metabolite,enzyme,affinity,gnn_score
C00007,P02957,-2.216,0.7168113589286804
C00015,I1MZ35,-7.104,0.6658107042312622
C00016,P02957,-9.924,0.8241935968399048
C00018,P02957,-4.945,0.688614547252655
C00019,I1MZ35,-6.518,0.6333074569702148
C00021,I1MZ35,-7.05,0.6353495717048645
C00022,P02957,-3.999,0.6990784406661987
