Rank,TF_ID,TF_Name,Enzyme_ID,Enzyme_Name,Score,TF_Desc,Enzyme_Desc,Structure_Score,GNN_Norm,Integrated_Score,New_Rank,Rank_Diff
1,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JPX3,I1JPX3_SOYBN,0.9969611763954164,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.6964691855978616,0.9999992740283938,0.9089402474992342,1,0
7,3847.I1N4K6,I1N4K6_SOYBN,3847.K7K8Z6,K7K8Z6_SOYBN,0.9965020418167114,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.9807641983846155,0.6666806064454445,0.7609056840271957,2,5
5,3847.I1N4K6,I1N4K6_SOYBN,3847.K7LHS5,K7LHS5_SOYBN,0.99653959274292,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.7194689697855631,0.6939415126609226,0.7015997497983147,3,2
2,3847.I1N4K6,I1N4K6_SOYBN,3847.I1LZF4,I1LZF4_SOYBN,0.9967228770256042,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.28613933495037946,0.8270006977598062,0.6647422889169782,4,-2
8,3847.A0A0R0J1V3,A0A0R0J1V3,3847.Q5NUF3,HIDH,0.9964757561683656,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,0.6848297385848633,0.6475979720947468,0.6587675020417818,5,3
4,3847.I1NFB9,I1NFB9_SOYBN,3847.Q5NUF3,HIDH,0.9965463280677797,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,0.5513147690828912,0.6988311672678114,0.6545762478123354,6,-2
3,3847.I1N4K6,I1N4K6_SOYBN,3847.I1L3F8,I1L3F8_SOYBN,0.996638298034668,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,"3-hydroxy-3-methylglutaryl coenzyme A synthase; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.",0.2268514535642031,0.7655987518556013,0.6039745623681818,7,-4
6,3847.I1N4K6,I1N4K6_SOYBN,3847.A0A0R0EQY1,A0A0R0EQY1,0.996510922908783,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.42310646012446096,0.6731280271217845,0.5981215570225874,8,-2
9,3847.A0A0R4J446,A0A0R4J446,3847.Q5NUF3,HIDH,0.9964236617088318,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,0.48093190148436094,0.6097788736307654,0.5711247819868441,9,0
12,3847.I1NFB9,I1NFB9_SOYBN,3847.I1JPX3,I1JPX3_SOYBN,0.9959204196929932,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,Protein kinase domain-containing protein.,0.7290497073840416,0.24443945906473136,0.38982253356052443,10,2
10,3847.I1N4K6,I1N4K6_SOYBN,3847.K7M7G9,K7M7G9_SOYBN,0.9960564374923706,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.3921175181941505,0.34318451935606026,0.35786441900748733,11,-1
16,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JZA5,I1JZA5_SOYBN,0.9957543611526488,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,0.7379954057320357,0.1238856738010038,0.30811859338031344,12,4
11,3847.I1NFB9,I1NFB9_SOYBN,3847.A6BM07,GmIF7GT1,0.9959575533866882,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone.",0.3431780161508694,0.27139746632218004,0.2929316312707868,13,-2
13,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JA26,I1JA26_SOYBN,0.9958654642105104,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,"3-hydroxy-3-methylglutaryl coenzyme A synthase; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.",0.4385722446796244,0.20454333917497616,0.2747520108263707,14,-1
