metabolite_kegg,metabolite_name,rank,enzyme_idx,uniprot_id,score
C00073,L-Methionine,1,3294,P02957,0.7454487681388855
C00073,L-Methionine,2,3362,Q2PMT8,0.7317987680435181
C00073,L-Methionine,3,3364,Q2PMU2,0.6899449229240417
C00073,L-Methionine,4,3346,Q2PMN3,0.6766429543495178
C00073,L-Methionine,5,890,E9KBR9,0.6596237421035767
C00073,L-Methionine,6,3416,Q9SDY6,0.6488764882087708
C00073,L-Methionine,7,3365,Q2PMU3,0.6480516195297241
C00073,L-Methionine,8,672,A0A0R4J387,0.6443877816200256
C00073,L-Methionine,9,1789,I1LFF1,0.6441695690155029
C00073,L-Methionine,10,3405,Q93XE6,0.6349776387214661
C00073,L-Methionine,11,889,E9KBR8,0.6322756409645081
C00073,L-Methionine,12,3384,Q53B72,0.6304368376731873
C00073,L-Methionine,13,930,I1J8L3,0.6279982924461365
C00073,L-Methionine,14,2350,I1N0Y1,0.6265835762023926
C00073,L-Methionine,15,3353,Q2PMQ9,0.6252098679542542
C00073,L-Methionine,16,3376,Q3T7D5,0.624073326587677
C00073,L-Methionine,17,3397,Q84L66,0.6231762170791626
C00073,L-Methionine,18,3420,Q9SWR5,0.6230716705322266
C00073,L-Methionine,19,3184,K7MQT5,0.6217342019081116
C00073,L-Methionine,20,787,C6SWQ7,0.6211700439453125
