Rank	TF_ID	TF_Name	Enzyme_ID	Enzyme_Name	Enzyme_Ann	Score
--------------------------------------------------------------------------------
1	3847.A0A0K2CTP6	NAC4	3847.A0A0R0E568	A0A0R0E568	Fe2OG dioxygenase domain-containing protein; Belongs to the iron/ascorbate-dependent oxidoreductase family.	1.0000
2	3847.A0A0K2CTP6	NAC4	3847.A0A0R0E6U1	A0A0R0E6U1	Protein kinase domain-containing protein.	1.0000
3	3847.A0A0K2CTP6	NAC4	3847.A0A0R0E7Y9	A0A0R0E7Y9	Protein kinase domain-containing protein.	1.0000
4	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EAS2	A0A0R0EAS2	UDPGT domain-containing protein; Belongs to the UDP-glycosyltransferase family.	1.0000
5	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EBB0	OAS-TL2	Cysteine synthase; Belongs to the cysteine synthase/cystathionine beta- synthase family.	1.0000
6	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EBJ8	A0A0R0EBJ8	PfkB domain-containing protein; Belongs to the carbohydrate kinase PfkB family.	1.0000
7	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EDH2	A0A0R0EDH2	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex.	1.0000
8	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EDM9	A0A0R0EDM9	Glutamine amidotransferase type-1 domain-containing protein.	1.0000
9	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EG78	A0A0R0EG78	GPI mannosyltransferase 2; Mannosyltransferase involved in glycosylphosphatidylinositol- anchor biosynthesis.	1.0000
10	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EGD1	A0A0R0EGD1	Glycosyltransferase.	1.0000
11	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EIZ0	A0A0R0EIZ0	Uncharacterized protein; Belongs to the short-chain dehydrogenases/reductases (SDR) family.	1.0000
12	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EJ12	A0A0R0EJ12	NTP_transferase domain-containing protein.	1.0000
13	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EJ26	A0A0R0EJ26	Protein kinase domain-containing protein.	1.0000
14	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EJ50	A0A0R0EJ50	Protein kinase domain-containing protein.	1.0000
15	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EL79	A0A0R0EL79	Pyruvate carboxyltransferase domain-containing protein; Belongs to the alpha-IPM synthase/homocitrate synthase family.	1.0000
16	3847.A0A0K2CTP6	NAC4	3847.A0A0R0EL96	A0A0R0EL96	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial; Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in chloroplasts and mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Belongs to the GatC family.	1.0000
17	3847.A0A0K2CTP6	NAC4	3847.A0A0R0ELE0	P5CR	Pyrroline-5-carboxylate reductase; Belongs to the pyrroline-5-carboxylate reductase family.	1.0000
18	3847.A0A0K2CTP6	NAC4	3847.A0A0R0ELT1	A0A0R0ELT1	Protein kinase domain-containing protein.	1.0000
19	3847.A0A0K2CTP6	NAC4	3847.A0A0R0ELX3	A0A0R0ELX3	Guanylate kinase-like domain-containing protein.	1.0000
